 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/41K-CD2.dat

 Ion = Potassium    [19] , Mass = 41 amu

 Density =  1.0600E+00 g/cm3 = 1.1939E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Potassium    [19] , Mass = 41 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.399E-01  4.133E+00     228 A        54 A        44 A   
  11.00 keV   8.809E-01  4.157E+00     245 A        57 A        46 A   
  12.00 keV   9.201E-01  4.175E+00     262 A        61 A        49 A   
  13.00 keV   9.577E-01  4.186E+00     278 A        64 A        52 A   
  14.00 keV   9.938E-01  4.193E+00     295 A        67 A        55 A   
  15.00 keV   1.029E+00  4.197E+00     311 A        70 A        57 A   
  16.00 keV   1.062E+00  4.197E+00     328 A        74 A        60 A   
  17.00 keV   1.095E+00  4.194E+00     344 A        77 A        62 A   
  18.00 keV   1.127E+00  4.189E+00     360 A        80 A        65 A   
  20.00 keV   1.188E+00  4.175E+00     392 A        86 A        70 A   
  22.50 keV   1.260E+00  4.148E+00     433 A        93 A        76 A   
  25.00 keV   1.328E+00  4.116E+00     472 A       101 A        82 A   
  27.50 keV   1.393E+00  4.080E+00     512 A       108 A        88 A   
  30.00 keV   1.455E+00  4.041E+00     552 A       115 A        94 A   
  32.50 keV   1.514E+00  4.001E+00     591 A       122 A        99 A   
  35.00 keV   1.571E+00  3.960E+00     631 A       129 A       105 A   
  37.50 keV   1.627E+00  3.918E+00     670 A       135 A       111 A   
  40.00 keV   1.680E+00  3.875E+00     709 A       142 A       116 A   
