 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/41K-CH2.dat

 Ion = Potassium    [19] , Mass = 41 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Potassium    [19] , Mass = 41 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.604E-01  4.679E+00     236 A        56 A        46 A   
  11.00 keV   1.007E+00  4.721E+00     253 A        60 A        49 A   
  12.00 keV   1.052E+00  4.754E+00     270 A        63 A        51 A   
  13.00 keV   1.095E+00  4.780E+00     287 A        66 A        54 A   
  14.00 keV   1.136E+00  4.801E+00     303 A        69 A        57 A   
  15.00 keV   1.176E+00  4.816E+00     319 A        72 A        59 A   
  16.00 keV   1.215E+00  4.827E+00     336 A        76 A        62 A   
  17.00 keV   1.252E+00  4.835E+00     352 A        79 A        64 A   
  18.00 keV   1.289E+00  4.839E+00     368 A        82 A        67 A   
  20.00 keV   1.358E+00  4.841E+00     400 A        87 A        72 A   
  22.50 keV   1.441E+00  4.832E+00     439 A        95 A        78 A   
  25.00 keV   1.519E+00  4.815E+00     478 A       102 A        84 A   
  27.50 keV   1.593E+00  4.791E+00     517 A       108 A        89 A   
  30.00 keV   1.664E+00  4.762E+00     556 A       115 A        95 A   
  32.50 keV   1.731E+00  4.730E+00     594 A       122 A       100 A   
  35.00 keV   1.797E+00  4.695E+00     633 A       128 A       106 A   
  37.50 keV   1.860E+00  4.659E+00     671 A       135 A       111 A   
  40.00 keV   1.921E+00  4.622E+00     709 A       141 A       116 A   
