 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/41K-isobutane_10.0torr.dat

 Ion = Potassium    [19] , Mass = 41 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Potassium    [19] , Mass = 41 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.139E+00  4.882E+00  647.18 um   148.13 um   120.77 um  
  11.00 keV   1.194E+00  4.927E+00  693.39 um   156.88 um   128.18 um  
  12.00 keV   1.247E+00  4.962E+00  738.98 um   165.41 um   135.39 um  
  13.00 keV   1.298E+00  4.990E+00  784.03 um   173.75 um   142.45 um  
  14.00 keV   1.347E+00  5.012E+00  828.63 um   181.93 um   149.36 um  
  15.00 keV   1.395E+00  5.029E+00  872.83 um   189.95 um   156.14 um  
  16.00 keV   1.440E+00  5.041E+00  916.67 um   197.84 um   162.81 um  
  17.00 keV   1.485E+00  5.050E+00  960.20 um   205.60 um   169.37 um  
  18.00 keV   1.528E+00  5.055E+00    1.00 mm   213.25 um   175.83 um  
  20.00 keV   1.610E+00  5.058E+00    1.09 mm   228.36 um   188.50 um  
  22.50 keV   1.708E+00  5.051E+00    1.20 mm   246.78 um   203.92 um  
  25.00 keV   1.801E+00  5.034E+00    1.30 mm   264.67 um   218.93 um  
  27.50 keV   1.888E+00  5.010E+00    1.40 mm   282.11 um   233.59 um  
  30.00 keV   1.972E+00  4.981E+00    1.51 mm   299.14 um   247.95 um  
  32.50 keV   2.053E+00  4.949E+00    1.61 mm   315.80 um   262.04 um  
