 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/41K-mylar.dat

 Ion = Potassium    [19] , Mass = 41 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Potassium    [19] , Mass = 41 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.229E-01  3.856E+00     183 A        52 A        41 A   
  11.00 keV   7.581E-01  3.889E+00     196 A        55 A        44 A   
  12.00 keV   7.918E-01  3.915E+00     210 A        58 A        46 A   
  13.00 keV   8.242E-01  3.935E+00     223 A        61 A        49 A   
  14.00 keV   8.553E-01  3.950E+00     236 A        64 A        51 A   
  15.00 keV   8.853E-01  3.961E+00     249 A        67 A        54 A   
  16.00 keV   9.143E-01  3.969E+00     262 A        70 A        56 A   
  17.00 keV   9.425E-01  3.974E+00     275 A        73 A        58 A   
  18.00 keV   9.698E-01  3.977E+00     288 A        76 A        61 A   
  20.00 keV   1.022E+00  3.976E+00     313 A        82 A        65 A   
  22.50 keV   1.084E+00  3.966E+00     344 A        89 A        71 A   
  25.00 keV   1.143E+00  3.949E+00     376 A        95 A        76 A   
  27.50 keV   1.199E+00  3.927E+00     407 A       102 A        82 A   
  30.00 keV   1.252E+00  3.902E+00     438 A       109 A        87 A   
  32.50 keV   1.303E+00  3.874E+00     469 A       115 A        92 A   
  35.00 keV   1.352E+00  3.844E+00     500 A       122 A        97 A   
  37.50 keV   1.400E+00  3.812E+00     531 A       128 A       102 A   
  40.00 keV   1.446E+00  3.780E+00     562 A       134 A       107 A   
