 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 05, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/4He-Al.dat

 Ion = Helium       [2] , Mass = 4 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.558E-01  4.323E-02     882 A       485 A       406 A   
  11.00 keV   2.702E-01  4.135E-02     964 A       512 A       433 A   
  12.00 keV   2.840E-01  3.965E-02    1045 A       538 A       459 A   
  13.00 keV   2.973E-01  3.811E-02    1124 A       562 A       483 A   
  14.00 keV   3.101E-01  3.670E-02    1202 A       584 A       506 A   
  15.00 keV   3.226E-01  3.541E-02    1278 A       605 A       528 A   
  16.00 keV   3.346E-01  3.422E-02    1354 A       624 A       549 A   
  17.00 keV   3.463E-01  3.313E-02    1428 A       643 A       569 A   
  18.00 keV   3.577E-01  3.211E-02    1501 A       660 A       589 A   
  20.00 keV   3.796E-01  3.028E-02    1644 A       693 A       625 A   
  22.50 keV   4.054E-01  2.830E-02    1818 A       729 A       667 A   
  25.00 keV   4.298E-01  2.661E-02    1985 A       761 A       706 A   
  27.50 keV   4.530E-01  2.513E-02    2147 A       790 A       742 A   
  30.00 keV   4.750E-01  2.383E-02    2305 A       816 A       775 A   
  32.50 keV   4.959E-01  2.268E-02    2458 A       840 A       805 A   
  35.00 keV   5.160E-01  2.165E-02    2607 A       862 A       834 A   
  37.50 keV   5.352E-01  2.072E-02    2753 A       882 A       861 A   
  40.00 keV   5.536E-01  1.988E-02    2895 A       900 A       887 A   
