 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 10, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/4He-Au.dat

 Ion = Helium       [2] , Mass = 4 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.820E-02  7.218E-03     227 A       338 A       251 A   
  11.00 keV   5.058E-02  7.156E-03     249 A       361 A       268 A   
  12.00 keV   5.285E-02  7.090E-03     270 A       382 A       285 A   
  13.00 keV   5.504E-02  7.020E-03     292 A       403 A       301 A   
  14.00 keV   5.714E-02  6.949E-03     314 A       424 A       317 A   
  15.00 keV   5.917E-02  6.877E-03     335 A       444 A       333 A   
  16.00 keV   6.114E-02  6.804E-03     357 A       463 A       348 A   
  17.00 keV   6.304E-02  6.731E-03     379 A       482 A       363 A   
  18.00 keV   6.489E-02  6.658E-03     401 A       501 A       378 A   
  20.00 keV   6.844E-02  6.515E-03     445 A       536 A       407 A   
  22.50 keV   7.264E-02  6.342E-03     501 A       579 A       441 A   
  25.00 keV   7.660E-02  6.176E-03     556 A       620 A       475 A   
  27.50 keV   8.036E-02  6.019E-03     612 A       659 A       507 A   
  30.00 keV   8.396E-02  5.869E-03     667 A       697 A       539 A   
  32.50 keV   8.741E-02  5.726E-03     723 A       733 A       569 A   
  35.00 keV   9.073E-02  5.591E-03     779 A       768 A       599 A   
  37.50 keV   9.394E-02  5.463E-03     835 A       802 A       628 A   
  40.00 keV   9.705E-02  5.342E-03     891 A       834 A       656 A   
