 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 08, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  6.4685E-05 g/cm3 = 9.3828E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.27%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.341E-02  1.808E-01    7.43 um     5.19 um     3.69 um  
10.9999 eV    1.407E-02  1.873E-01    7.84 um     5.45 um     3.88 um  
11.9999 eV    1.469E-02  1.934E-01    8.23 um     5.71 um     4.07 um  
12.9999 eV    1.529E-02  1.990E-01    8.62 um     5.95 um     4.25 um  
13.9999 eV    1.587E-02  2.042E-01    9.00 um     6.19 um     4.42 um  
14.9999 eV    1.643E-02  2.091E-01    9.36 um     6.42 um     4.59 um  
15.9999 eV    1.696E-02  2.137E-01    9.73 um     6.64 um     4.76 um  
16.9999 eV    1.749E-02  2.180E-01   10.08 um     6.86 um     4.92 um  
17.9999 eV    1.799E-02  2.222E-01   10.43 um     7.08 um     5.08 um  
19.9999 eV    1.897E-02  2.298E-01   11.11 um     7.49 um     5.39 um  
22.4999 eV    2.012E-02  2.383E-01   11.94 um     7.99 um     5.77 um  
24.9999 eV    2.121E-02  2.460E-01   12.74 um     8.47 um     6.13 um  
27.4999 eV    2.224E-02  2.529E-01   13.53 um     8.94 um     6.47 um  
29.9999 eV    2.323E-02  2.591E-01   14.29 um     9.39 um     6.81 um  
32.4999 eV    2.418E-02  2.649E-01   15.04 um     9.83 um     7.14 um  
34.9999 eV    2.509E-02  2.701E-01   15.78 um    10.26 um     7.46 um  
