 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/4He-isobutane_20torr.dat

 Ion = Helium       [2] , Mass = 4 amu

 Density =  6.4690E-05 g/cm3 = 9.3832E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.097E-01  1.137E-01    2.12 mm   555.00 um   520.09 um  
  11.00 keV   6.402E-01  1.072E-01    2.30 mm   582.85 um   553.98 um  
  12.00 keV   6.695E-01  1.015E-01    2.49 mm   608.41 um   585.86 um  
  13.00 keV   6.976E-01  9.648E-02    2.66 mm   631.97 um   615.94 um  
  14.00 keV   7.247E-01  9.199E-02    2.84 mm   653.78 um   644.37 um  
  15.00 keV   7.509E-01  8.795E-02    3.01 mm   674.04 um   671.31 um  
  16.00 keV   7.762E-01  8.430E-02    3.17 mm   692.92 um   696.89 um  
  17.00 keV   8.008E-01  8.098E-02    3.34 mm   710.56 um   721.22 um  
  18.00 keV   8.247E-01  7.795E-02    3.50 mm   727.10 um   744.41 um  
  20.00 keV   8.706E-01  7.260E-02    3.81 mm   757.79 um   787.72 um  
  22.50 keV   9.247E-01  6.697E-02    4.18 mm   791.81 um   836.86 um  
  25.00 keV   9.756E-01  6.225E-02    4.54 mm   821.64 um   881.33 um  
  27.50 keV   1.024E+00  5.822E-02    4.88 mm   848.09 um   921.86 um  
  30.00 keV   1.069E+00  5.473E-02    5.22 mm   871.76 um   959.06 um  
  32.50 keV   1.112E+00  5.169E-02    5.54 mm   893.13 um   993.41 um  
