 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/4He-mylar.dat

 Ion = Helium       [2] , Mass = 4 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.224E-01  7.520E-02    1300 A       449 A       404 A   
  11.00 keV   4.432E-01  7.115E-02    1417 A       473 A       431 A   
  12.00 keV   4.631E-01  6.758E-02    1532 A       494 A       456 A   
  13.00 keV   4.822E-01  6.440E-02    1645 A       514 A       480 A   
  14.00 keV   5.006E-01  6.154E-02    1755 A       533 A       502 A   
  15.00 keV   5.184E-01  5.897E-02    1863 A       550 A       524 A   
  16.00 keV   5.355E-01  5.663E-02    1970 A       567 A       544 A   
  17.00 keV   5.522E-01  5.450E-02    2074 A       582 A       564 A   
  18.00 keV   5.683E-01  5.254E-02    2177 A       596 A       582 A   
  20.00 keV   5.992E-01  4.908E-02    2377 A       623 A       617 A   
  22.50 keV   6.356E-01  4.541E-02    2618 A       652 A       658 A   
  25.00 keV   6.696E-01  4.232E-02    2851 A       678 A       694 A   
  27.50 keV   7.017E-01  3.967E-02    3076 A       702 A       728 A   
  30.00 keV   7.319E-01  3.737E-02    3294 A       723 A       759 A   
  32.50 keV   7.603E-01  3.536E-02    3505 A       742 A       787 A   
  35.00 keV   7.872E-01  3.357E-02    3711 A       759 A       814 A   
  37.50 keV   8.126E-01  3.198E-02    3912 A       775 A       839 A   
