 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/58Fe-V.dat

 Ion = Iron         [26] , Mass = 58 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 58 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.841E-01  2.200E+00      66 A        37 A        27 A   
  11.00 keV   1.931E-01  2.246E+00      71 A        39 A        28 A   
  12.00 keV   2.016E-01  2.287E+00      75 A        41 A        30 A   
  13.00 keV   2.099E-01  2.324E+00      79 A        43 A        31 A   
  14.00 keV   2.178E-01  2.357E+00      84 A        45 A        33 A   
  15.00 keV   2.254E-01  2.387E+00      88 A        47 A        34 A   
  16.00 keV   2.328E-01  2.414E+00      92 A        49 A        36 A   
  17.00 keV   2.400E-01  2.439E+00      96 A        51 A        37 A   
  18.00 keV   2.470E-01  2.461E+00     101 A        53 A        38 A   
  20.00 keV   2.603E-01  2.500E+00     109 A        56 A        41 A   
  22.50 keV   2.761E-01  2.540E+00     119 A        61 A        44 A   
  25.00 keV   2.911E-01  2.573E+00     129 A        66 A        48 A   
  27.50 keV   3.053E-01  2.600E+00     139 A        70 A        51 A   
  30.00 keV   3.188E-01  2.621E+00     149 A        74 A        54 A   
  32.50 keV   3.318E-01  2.639E+00     159 A        79 A        57 A   
  35.00 keV   3.444E-01  2.653E+00     169 A        83 A        60 A   
  37.50 keV   3.565E-01  2.664E+00     179 A        87 A        63 A   
  40.00 keV   3.682E-01  2.673E+00     188 A        91 A        66 A   
