 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 11, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/5Li-Si.dat

 Ion = Lithium      [3] , Mass = 5 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lithium      [3] , Mass = 5 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.213E-01  9.393E-02     669 A       411 A       329 A   
  11.00 keV   3.378E-01  9.069E-02     732 A       437 A       353 A   
  12.00 keV   3.535E-01  8.770E-02     796 A       461 A       375 A   
  13.00 keV   3.684E-01  8.494E-02     858 A       485 A       397 A   
  14.00 keV   3.824E-01  8.236E-02     920 A       507 A       418 A   
  15.00 keV   3.955E-01  7.997E-02     982 A       529 A       438 A   
  16.00 keV   4.078E-01  7.773E-02    1043 A       549 A       458 A   
  17.00 keV   4.193E-01  7.564E-02    1104 A       569 A       477 A   
  18.00 keV   4.301E-01  7.368E-02    1164 A       588 A       496 A   
  20.00 keV   4.496E-01  7.009E-02    1285 A       625 A       532 A   
  22.50 keV   4.716E-01  6.614E-02    1434 A       667 A       575 A   
  25.00 keV   4.933E-01  6.268E-02    1581 A       706 A       616 A   
  27.50 keV   5.160E-01  5.963E-02    1726 A       742 A       654 A   
  30.00 keV   5.397E-01  5.690E-02    1868 A       776 A       691 A   
  32.50 keV   5.639E-01  5.445E-02    2007 A       807 A       726 A   
  35.00 keV   5.880E-01  5.223E-02    2143 A       836 A       759 A   
  37.50 keV   6.116E-01  5.022E-02    2276 A       863 A       791 A   
  40.00 keV   6.346E-01  4.838E-02    2406 A       888 A       820 A   
