 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/60Co-V.dat

 Ion = Cobalt       [27] , Mass = 60 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.598E-01  2.279E+00      65 A        36 A        26 A   
  11.00 keV   1.676E-01  2.328E+00      70 A        38 A        28 A   
  12.00 keV   1.750E-01  2.372E+00      74 A        40 A        29 A   
  13.00 keV   1.822E-01  2.412E+00      78 A        42 A        31 A   
  14.00 keV   1.890E-01  2.447E+00      83 A        44 A        32 A   
  15.00 keV   1.957E-01  2.480E+00      87 A        46 A        34 A   
  16.00 keV   2.021E-01  2.509E+00      91 A        48 A        35 A   
  17.00 keV   2.083E-01  2.535E+00      95 A        50 A        36 A   
  18.00 keV   2.143E-01  2.560E+00      99 A        52 A        38 A   
  20.00 keV   2.259E-01  2.603E+00     107 A        55 A        40 A   
  22.50 keV   2.396E-01  2.647E+00     117 A        60 A        44 A   
  25.00 keV   2.526E-01  2.683E+00     127 A        64 A        47 A   
  27.50 keV   2.649E-01  2.713E+00     137 A        69 A        50 A   
  30.00 keV   2.767E-01  2.738E+00     147 A        73 A        53 A   
  32.50 keV   2.880E-01  2.758E+00     156 A        77 A        56 A   
  35.00 keV   2.989E-01  2.774E+00     166 A        81 A        59 A   
  37.50 keV   3.094E-01  2.788E+00     175 A        85 A        62 A   
  40.00 keV   3.195E-01  2.799E+00     185 A        89 A        64 A   
