 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> April 16, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/60Zn-S.dat

 Ion = Zinc         [30] , Mass = 60 amu

 Density =  2.0686E+00 g/cm3 = 3.8848E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      S     16    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.372E-01  3.472E+00     145 A        64 A        47 A   
  11.00 keV   2.488E-01  3.547E+00     154 A        67 A        50 A   
  12.00 keV   2.598E-01  3.613E+00     163 A        71 A        53 A   
  13.00 keV   2.705E-01  3.673E+00     173 A        74 A        55 A   
  14.00 keV   2.807E-01  3.727E+00     182 A        77 A        58 A   
  15.00 keV   2.905E-01  3.776E+00     191 A        81 A        60 A   
  16.00 keV   3.000E-01  3.820E+00     200 A        84 A        63 A   
  17.00 keV   3.093E-01  3.860E+00     208 A        87 A        65 A   
  18.00 keV   3.182E-01  3.897E+00     217 A        90 A        68 A   
  20.00 keV   3.355E-01  3.962E+00     234 A        97 A        72 A   
  22.50 keV   3.558E-01  4.029E+00     256 A       104 A        78 A   
  25.00 keV   3.750E-01  4.084E+00     277 A       111 A        84 A   
  27.50 keV   3.934E-01  4.129E+00     298 A       119 A        89 A   
  30.00 keV   4.108E-01  4.166E+00     318 A       126 A        94 A   
  32.50 keV   4.276E-01  4.196E+00     339 A       133 A        99 A   
  35.00 keV   4.438E-01  4.221E+00     359 A       140 A       105 A   
  37.50 keV   4.593E-01  4.241E+00     379 A       147 A       110 A   
  40.00 keV   4.744E-01  4.258E+00     399 A       153 A       115 A   
