 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> April 16, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/60Zn-Ta.dat

 Ion = Zinc         [30] , Mass = 60 amu

 Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.643E-02  6.955E-01      40 A        41 A        32 A   
  11.00 keV   6.967E-02  7.168E-01      43 A        44 A        34 A   
  12.00 keV   7.277E-02  7.362E-01      45 A        46 A        36 A   
  13.00 keV   7.574E-02  7.541E-01      48 A        48 A        37 A   
  14.00 keV   7.860E-02  7.707E-01      50 A        50 A        39 A   
  15.00 keV   8.135E-02  7.860E-01      53 A        52 A        41 A   
  16.00 keV   8.402E-02  8.003E-01      55 A        54 A        42 A   
  17.00 keV   8.661E-02  8.137E-01      58 A        56 A        44 A   
  18.00 keV   8.912E-02  8.262E-01      60 A        58 A        45 A   
  20.00 keV   9.394E-02  8.491E-01      64 A        62 A        48 A   
  22.50 keV   9.964E-02  8.742E-01      70 A        67 A        52 A   
  25.00 keV   1.050E-01  8.962E-01      76 A        72 A        56 A   
  27.50 keV   1.102E-01  9.157E-01      81 A        76 A        59 A   
  30.00 keV   1.151E-01  9.330E-01      87 A        81 A        63 A   
  32.50 keV   1.197E-01  9.486E-01      92 A        85 A        66 A   
  35.00 keV   1.243E-01  9.626E-01      97 A        89 A        69 A   
  37.50 keV   1.286E-01  9.752E-01     102 A        93 A        73 A   
  40.00 keV   1.329E-01  9.867E-01     108 A        98 A        76 A   
