 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> April 16, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/60Zn-isobutane_20.0torr.dat

 Ion = Zinc         [30] , Mass = 60 amu

 Density =  6.4690E-05 g/cm3 = 9.3832E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.496E-01  6.653E+00  292.24 um    62.82 um    50.78 um  
  11.00 keV   8.910E-01  6.781E+00  310.92 um    66.10 um    53.66 um  
  12.00 keV   9.306E-01  6.894E+00  329.24 um    69.29 um    56.46 um  
  13.00 keV   9.686E-01  6.995E+00  347.24 um    72.39 um    59.19 um  
  14.00 keV   1.005E+00  7.084E+00  364.97 um    75.41 um    61.85 um  
  15.00 keV   1.040E+00  7.164E+00  382.46 um    78.37 um    64.46 um  
  16.00 keV   1.075E+00  7.236E+00  399.73 um    81.27 um    67.02 um  
  17.00 keV   1.108E+00  7.300E+00  416.81 um    84.12 um    69.54 um  
  18.00 keV   1.140E+00  7.359E+00  433.72 um    86.92 um    72.01 um  
  20.00 keV   1.201E+00  7.460E+00  467.07 um    92.44 um    76.84 um  
  22.50 keV   1.274E+00  7.561E+00  508.03 um    99.15 um    82.71 um  
  25.00 keV   1.343E+00  7.640E+00  548.32 um   105.65 um    88.40 um  
  27.50 keV   1.409E+00  7.702E+00  588.06 um   111.98 um    93.95 um  
  30.00 keV   1.471E+00  7.751E+00  627.33 um   118.17 um    99.37 um  
  32.50 keV   1.532E+00  7.788E+00  666.22 um   124.22 um   104.68 um  
