 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> April 16, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/60Zn-mylar.dat

 Ion = Zinc         [30] , Mass = 60 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.393E-01  5.443E+00     160 A        42 A        33 A   
  11.00 keV   5.656E-01  5.544E+00     170 A        44 A        35 A   
  12.00 keV   5.907E-01  5.633E+00     180 A        46 A        37 A   
  13.00 keV   6.149E-01  5.711E+00     191 A        48 A        39 A   
  14.00 keV   6.381E-01  5.781E+00     201 A        50 A        41 A   
  15.00 keV   6.605E-01  5.843E+00     210 A        52 A        42 A   
  16.00 keV   6.821E-01  5.899E+00     220 A        55 A        44 A   
  17.00 keV   7.031E-01  5.948E+00     230 A        57 A        46 A   
  18.00 keV   7.235E-01  5.993E+00     239 A        58 A        48 A   
  20.00 keV   7.626E-01  6.070E+00     258 A        62 A        51 A   
  22.50 keV   8.089E-01  6.146E+00     282 A        67 A        55 A   
  25.00 keV   8.527E-01  6.204E+00     304 A        72 A        59 A   
  27.50 keV   8.943E-01  6.249E+00     327 A        76 A        63 A   
  30.00 keV   9.340E-01  6.283E+00     350 A        81 A        66 A   
  32.50 keV   9.722E-01  6.308E+00     372 A        85 A        70 A   
  35.00 keV   1.009E+00  6.326E+00     394 A        89 A        74 A   
  37.50 keV   1.044E+00  6.338E+00     416 A        94 A        77 A   
