 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/62Ni-V.dat

 Ion = Nickel       [28] , Mass = 62 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.073E-01  2.356E+00      65 A        36 A        26 A   
  11.00 keV   1.125E-01  2.409E+00      70 A        38 A        28 A   
  12.00 keV   1.175E-01  2.456E+00      74 A        40 A        29 A   
  13.00 keV   1.223E-01  2.498E+00      78 A        42 A        30 A   
  14.00 keV   1.269E-01  2.536E+00      82 A        44 A        32 A   
  15.00 keV   1.314E-01  2.570E+00      86 A        46 A        33 A   
  16.00 keV   1.357E-01  2.602E+00      91 A        48 A        35 A   
  17.00 keV   1.399E-01  2.631E+00      95 A        50 A        36 A   
  18.00 keV   1.439E-01  2.657E+00      99 A        51 A        37 A   
  20.00 keV   1.517E-01  2.703E+00     107 A        55 A        40 A   
  22.50 keV   1.609E-01  2.752E+00     117 A        59 A        43 A   
  25.00 keV   1.696E-01  2.792E+00     126 A        64 A        46 A   
  27.50 keV   1.779E-01  2.825E+00     136 A        68 A        49 A   
  30.00 keV   1.858E-01  2.852E+00     146 A        72 A        52 A   
  32.50 keV   1.934E-01  2.875E+00     155 A        77 A        55 A   
  35.00 keV   2.007E-01  2.894E+00     165 A        81 A        58 A   
  37.50 keV   2.078E-01  2.910E+00     174 A        85 A        61 A   
  40.00 keV   2.146E-01  2.923E+00     184 A        89 A        64 A   
