 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/63Cu-V.dat

 Ion = Copper       [29] , Mass = 63 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.237E-01  2.420E+00      64 A        35 A        25 A   
  11.00 keV   1.297E-01  2.475E+00      68 A        37 A        27 A   
  12.00 keV   1.355E-01  2.524E+00      72 A        39 A        28 A   
  13.00 keV   1.410E-01  2.569E+00      76 A        41 A        30 A   
  14.00 keV   1.464E-01  2.609E+00      81 A        43 A        31 A   
  15.00 keV   1.515E-01  2.645E+00      85 A        45 A        32 A   
  16.00 keV   1.565E-01  2.679E+00      89 A        46 A        34 A   
  17.00 keV   1.613E-01  2.709E+00      93 A        48 A        35 A   
  18.00 keV   1.660E-01  2.737E+00      96 A        50 A        36 A   
  20.00 keV   1.749E-01  2.787E+00     104 A        53 A        39 A   
  22.50 keV   1.855E-01  2.839E+00     114 A        58 A        42 A   
  25.00 keV   1.956E-01  2.882E+00     123 A        62 A        45 A   
  27.50 keV   2.051E-01  2.918E+00     133 A        66 A        48 A   
  30.00 keV   2.143E-01  2.948E+00     142 A        70 A        51 A   
  32.50 keV   2.230E-01  2.973E+00     151 A        74 A        54 A   
  35.00 keV   2.314E-01  2.994E+00     160 A        78 A        56 A   
  37.50 keV   2.395E-01  3.012E+00     169 A        82 A        59 A   
  40.00 keV   2.474E-01  3.027E+00     178 A        86 A        62 A   
