 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 09, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/63Rb-Cu.dat

 Ion = Rubidium     [37] , Mass = 63 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.144E-01  2.386E+00      41 A        26 A        18 A   
  11.00 keV   1.200E-01  2.450E+00      43 A        27 A        20 A   
  12.00 keV   1.253E-01  2.509E+00      46 A        28 A        21 A   
  13.00 keV   1.305E-01  2.562E+00      48 A        30 A        21 A   
  14.00 keV   1.354E-01  2.610E+00      51 A        31 A        22 A   
  15.00 keV   1.401E-01  2.655E+00      53 A        32 A        23 A   
  16.00 keV   1.447E-01  2.696E+00      56 A        34 A        24 A   
  17.00 keV   1.492E-01  2.734E+00      58 A        35 A        25 A   
  18.00 keV   1.535E-01  2.770E+00      61 A        36 A        26 A   
  20.00 keV   1.618E-01  2.834E+00      65 A        39 A        28 A   
  22.50 keV   1.716E-01  2.903E+00      71 A        41 A        30 A   
  25.00 keV   1.809E-01  2.963E+00      77 A        44 A        32 A   
  27.50 keV   1.897E-01  3.014E+00      82 A        47 A        34 A   
  30.00 keV   1.982E-01  3.059E+00      88 A        50 A        36 A   
  32.50 keV   2.063E-01  3.099E+00      93 A        53 A        38 A   
  35.00 keV   2.141E-01  3.134E+00      98 A        55 A        40 A   
  37.50 keV   2.216E-01  3.164E+00     104 A        58 A        42 A   
  40.00 keV   2.288E-01  3.192E+00     109 A        60 A        44 A   
