 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 09, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/63Rb-isobutane_10.0torr.dat

 Ion = Rubidium     [37] , Mass = 63 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.152E-01  7.517E+00  545.03 um   118.76 um    94.92 um  
  11.00 keV   8.550E-01  7.685E+00  578.58 um   124.72 um   100.14 um  
  12.00 keV   8.930E-01  7.834E+00  611.41 um   130.49 um   105.21 um  
  13.00 keV   9.295E-01  7.968E+00  643.61 um   136.10 um   110.15 um  
  14.00 keV   9.645E-01  8.090E+00  675.27 um   141.56 um   114.96 um  
  15.00 keV   9.984E-01  8.200E+00  706.44 um   146.89 um   119.67 um  
  16.00 keV   1.031E+00  8.300E+00  737.18 um   152.11 um   124.29 um  
  17.00 keV   1.063E+00  8.391E+00  767.53 um   157.23 um   128.82 um  
  18.00 keV   1.094E+00  8.475E+00  797.52 um   162.25 um   133.26 um  
  20.00 keV   1.153E+00  8.623E+00  856.58 um   172.13 um   141.95 um  
  22.50 keV   1.223E+00  8.777E+00  928.92 um   184.11 um   152.48 um  
  25.00 keV   1.289E+00  8.904E+00  999.88 um   195.70 um   162.67 um  
  27.50 keV   1.352E+00  9.010E+00    1.07 mm   206.96 um   172.60 um  
  30.00 keV   1.412E+00  9.098E+00    1.14 mm   217.94 um   182.29 um  
  32.50 keV   1.470E+00  9.171E+00    1.21 mm   228.68 um   191.77 um  
