 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 09, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/63Rb-mylar.dat

 Ion = Rubidium     [37] , Mass = 63 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.175E-01  6.191E+00     148 A        39 A        31 A   
  11.00 keV   5.427E-01  6.324E+00     157 A        41 A        32 A   
  12.00 keV   5.668E-01  6.443E+00     166 A        43 A        34 A   
  13.00 keV   5.900E-01  6.550E+00     175 A        45 A        36 A   
  14.00 keV   6.123E-01  6.646E+00     184 A        47 A        37 A   
  15.00 keV   6.337E-01  6.732E+00     193 A        49 A        39 A   
  16.00 keV   6.545E-01  6.811E+00     201 A        50 A        41 A   
  17.00 keV   6.747E-01  6.883E+00     210 A        52 A        42 A   
  18.00 keV   6.942E-01  6.948E+00     218 A        54 A        44 A   
  20.00 keV   7.318E-01  7.064E+00     235 A        57 A        46 A   
  22.50 keV   7.762E-01  7.183E+00     255 A        61 A        50 A   
  25.00 keV   8.182E-01  7.280E+00     275 A        65 A        53 A   
  27.50 keV   8.581E-01  7.360E+00     295 A        69 A        57 A   
  30.00 keV   8.963E-01  7.426E+00     314 A        73 A        60 A   
  32.50 keV   9.328E-01  7.480E+00     333 A        77 A        63 A   
  35.00 keV   9.681E-01  7.524E+00     353 A        81 A        66 A   
  37.50 keV   1.002E+00  7.560E+00     372 A        84 A        70 A   
