 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 18, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/68Rb-V.dat

 Ion = Rubidium     [37] , Mass = 68 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.878E-01  2.858E+00      57 A        30 A        22 A   
  11.00 keV   1.969E-01  2.933E+00      60 A        32 A        23 A   
  12.00 keV   2.057E-01  3.000E+00      64 A        34 A        25 A   
  13.00 keV   2.141E-01  3.060E+00      67 A        35 A        26 A   
  14.00 keV   2.222E-01  3.116E+00      71 A        37 A        27 A   
  15.00 keV   2.300E-01  3.167E+00      74 A        38 A        28 A   
  16.00 keV   2.375E-01  3.214E+00      77 A        40 A        29 A   
  17.00 keV   2.448E-01  3.258E+00      80 A        41 A        30 A   
  18.00 keV   2.519E-01  3.298E+00      84 A        43 A        31 A   
  20.00 keV   2.655E-01  3.371E+00      90 A        46 A        33 A   
  22.50 keV   2.816E-01  3.449E+00      98 A        49 A        36 A   
  25.00 keV   2.969E-01  3.515E+00     106 A        52 A        38 A   
  27.50 keV   3.114E-01  3.572E+00     113 A        55 A        41 A   
  30.00 keV   3.252E-01  3.622E+00     121 A        59 A        43 A   
  32.50 keV   3.385E-01  3.665E+00     128 A        62 A        45 A   
  35.00 keV   3.513E-01  3.703E+00     136 A        65 A        47 A   
  37.50 keV   3.636E-01  3.736E+00     143 A        68 A        50 A   
  40.00 keV   3.755E-01  3.765E+00     150 A        71 A        52 A   
