 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/69As-V.dat

 Ion = Arsenic      [33] , Mass = 69 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.852E-01  2.686E+00      60 A        32 A        23 A   
  11.00 keV   1.942E-01  2.752E+00      64 A        33 A        24 A   
  12.00 keV   2.029E-01  2.812E+00      68 A        35 A        26 A   
  13.00 keV   2.112E-01  2.866E+00      71 A        37 A        27 A   
  14.00 keV   2.191E-01  2.916E+00      75 A        38 A        28 A   
  15.00 keV   2.268E-01  2.961E+00      79 A        40 A        29 A   
  16.00 keV   2.343E-01  3.002E+00      82 A        42 A        30 A   
  17.00 keV   2.415E-01  3.041E+00      86 A        43 A        32 A   
  18.00 keV   2.485E-01  3.076E+00      89 A        45 A        33 A   
  20.00 keV   2.619E-01  3.139E+00      96 A        48 A        35 A   
  22.50 keV   2.778E-01  3.207E+00     105 A        51 A        38 A   
  25.00 keV   2.928E-01  3.263E+00     113 A        55 A        40 A   
  27.50 keV   3.071E-01  3.312E+00     121 A        58 A        43 A   
  30.00 keV   3.208E-01  3.354E+00     129 A        62 A        45 A   
  32.50 keV   3.339E-01  3.389E+00     137 A        65 A        48 A   
  35.00 keV   3.465E-01  3.420E+00     145 A        68 A        50 A   
  37.50 keV   3.586E-01  3.447E+00     153 A        71 A        52 A   
  40.00 keV   3.704E-01  3.470E+00     161 A        75 A        55 A   
