 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/69Ge-V.dat

 Ion = Germanium    [32] , Mass = 69 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.576E-01  2.637E+00      61 A        32 A        24 A   
  11.00 keV   1.653E-01  2.702E+00      65 A        34 A        25 A   
  12.00 keV   1.727E-01  2.760E+00      69 A        36 A        26 A   
  13.00 keV   1.797E-01  2.812E+00      73 A        38 A        27 A   
  14.00 keV   1.865E-01  2.860E+00      77 A        39 A        29 A   
  15.00 keV   1.930E-01  2.903E+00      80 A        41 A        30 A   
  16.00 keV   1.994E-01  2.943E+00      84 A        43 A        31 A   
  17.00 keV   2.055E-01  2.980E+00      88 A        44 A        32 A   
  18.00 keV   2.115E-01  3.014E+00      91 A        46 A        33 A   
  20.00 keV   2.229E-01  3.075E+00      98 A        49 A        36 A   
  22.50 keV   2.364E-01  3.139E+00     107 A        52 A        38 A   
  25.00 keV   2.492E-01  3.194E+00     116 A        56 A        41 A   
  27.50 keV   2.614E-01  3.240E+00     124 A        60 A        44 A   
  30.00 keV   2.730E-01  3.279E+00     133 A        63 A        46 A   
  32.50 keV   2.841E-01  3.313E+00     141 A        67 A        49 A   
  35.00 keV   2.949E-01  3.342E+00     149 A        70 A        51 A   
  37.50 keV   3.052E-01  3.367E+00     157 A        74 A        54 A   
  40.00 keV   3.152E-01  3.389E+00     166 A        77 A        56 A   
