 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 18, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/69Zn-V.dat

 Ion = Zinc         [30] , Mass = 69 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.896E-01  2.538E+00      63 A        33 A        24 A   
  11.00 keV   1.988E-01  2.598E+00      67 A        35 A        25 A   
  12.00 keV   2.077E-01  2.652E+00      71 A        36 A        27 A   
  13.00 keV   2.161E-01  2.701E+00      75 A        38 A        28 A   
  14.00 keV   2.243E-01  2.745E+00      79 A        40 A        29 A   
  15.00 keV   2.322E-01  2.785E+00      82 A        41 A        30 A   
  16.00 keV   2.398E-01  2.822E+00      86 A        43 A        32 A   
  17.00 keV   2.472E-01  2.856E+00      90 A        45 A        33 A   
  18.00 keV   2.543E-01  2.887E+00      94 A        46 A        34 A   
  20.00 keV   2.681E-01  2.943E+00     101 A        49 A        36 A   
  22.50 keV   2.843E-01  3.001E+00     110 A        53 A        39 A   
  25.00 keV   2.997E-01  3.050E+00     119 A        57 A        42 A   
  27.50 keV   3.144E-01  3.092E+00     128 A        61 A        45 A   
  30.00 keV   3.283E-01  3.127E+00     137 A        64 A        47 A   
  32.50 keV   3.417E-01  3.157E+00     145 A        68 A        50 A   
  35.00 keV   3.546E-01  3.182E+00     154 A        71 A        52 A   
  37.50 keV   3.671E-01  3.204E+00     162 A        75 A        55 A   
  40.00 keV   3.791E-01  3.223E+00     171 A        78 A        57 A   
