 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 11, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/6Li-Al.dat

 Ion = Lithium      [3] , Mass = 6 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lithium      [3] , Mass = 6 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.921E-01  1.085E-01     601 A       353 A       281 A   
  11.00 keV   3.064E-01  1.047E-01     660 A       376 A       302 A   
  12.00 keV   3.200E-01  1.012E-01     718 A       399 A       322 A   
  13.00 keV   3.329E-01  9.790E-02     776 A       420 A       342 A   
  14.00 keV   3.452E-01  9.487E-02     833 A       441 A       361 A   
  15.00 keV   3.572E-01  9.206E-02     890 A       460 A       380 A   
  16.00 keV   3.687E-01  8.944E-02     947 A       479 A       398 A   
  17.00 keV   3.799E-01  8.699E-02    1003 A       497 A       415 A   
  18.00 keV   3.907E-01  8.469E-02    1059 A       515 A       432 A   
  20.00 keV   4.115E-01  8.050E-02    1170 A       548 A       465 A   
  22.50 keV   4.361E-01  7.590E-02    1306 A       586 A       504 A   
  25.00 keV   4.593E-01  7.188E-02    1440 A       621 A       541 A   
  27.50 keV   4.813E-01  6.833E-02    1572 A       654 A       576 A   
  30.00 keV   5.024E-01  6.516E-02    1701 A       684 A       609 A   
  32.50 keV   5.225E-01  6.233E-02    1828 A       712 A       641 A   
  35.00 keV   5.419E-01  5.976E-02    1954 A       739 A       671 A   
  37.50 keV   5.606E-01  5.743E-02    2077 A       763 A       699 A   
  40.00 keV   5.786E-01  5.531E-02    2198 A       787 A       727 A   
