 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 11, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/6Li-Au.dat

 Ion = Lithium      [3] , Mass = 6 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lithium      [3] , Mass = 6 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.643E-02  1.591E-02     165 A       277 A       204 A   
  11.00 keV   4.870E-02  1.589E-02     180 A       296 A       218 A   
  12.00 keV   5.087E-02  1.585E-02     195 A       315 A       232 A   
  13.00 keV   5.308E-02  1.580E-02     211 A       333 A       246 A   
  14.00 keV   5.522E-02  1.574E-02     226 A       351 A       259 A   
  15.00 keV   5.730E-02  1.567E-02     241 A       368 A       272 A   
  16.00 keV   5.932E-02  1.559E-02     256 A       385 A       285 A   
  17.00 keV   6.128E-02  1.550E-02     272 A       402 A       298 A   
  18.00 keV   6.319E-02  1.541E-02     287 A       418 A       310 A   
  20.00 keV   6.687E-02  1.522E-02     318 A       450 A       335 A   
  22.50 keV   7.126E-02  1.497E-02     357 A       488 A       365 A   
  25.00 keV   7.544E-02  1.472E-02     397 A       525 A       394 A   
  27.50 keV   7.945E-02  1.447E-02     436 A       561 A       422 A   
  30.00 keV   8.330E-02  1.422E-02     476 A       595 A       449 A   
  32.50 keV   8.701E-02  1.397E-02     515 A       629 A       475 A   
  35.00 keV   9.060E-02  1.373E-02     555 A       661 A       501 A   
  37.50 keV   9.409E-02  1.350E-02     595 A       692 A       527 A   
  40.00 keV   9.748E-02  1.328E-02     635 A       723 A       551 A   
