 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/70Ga-V.dat

 Ion = Gallium      [31] , Mass = 70 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.867E-01  2.598E+00      62 A        32 A        24 A   
  11.00 keV   1.959E-01  2.661E+00      66 A        34 A        25 A   
  12.00 keV   2.046E-01  2.718E+00      70 A        36 A        26 A   
  13.00 keV   2.129E-01  2.769E+00      74 A        37 A        27 A   
  14.00 keV   2.210E-01  2.815E+00      77 A        39 A        29 A   
  15.00 keV   2.287E-01  2.857E+00      81 A        41 A        30 A   
  16.00 keV   2.362E-01  2.896E+00      85 A        42 A        31 A   
  17.00 keV   2.435E-01  2.932E+00      89 A        44 A        32 A   
  18.00 keV   2.505E-01  2.965E+00      92 A        46 A        33 A   
  20.00 keV   2.641E-01  3.023E+00      99 A        49 A        36 A   
  22.50 keV   2.801E-01  3.085E+00     108 A        52 A        38 A   
  25.00 keV   2.953E-01  3.138E+00     117 A        56 A        41 A   
  27.50 keV   3.097E-01  3.182E+00     126 A        60 A        44 A   
  30.00 keV   3.234E-01  3.220E+00     134 A        63 A        46 A   
  32.50 keV   3.366E-01  3.252E+00     143 A        66 A        49 A   
  35.00 keV   3.494E-01  3.280E+00     151 A        70 A        51 A   
  37.50 keV   3.616E-01  3.304E+00     159 A        73 A        54 A   
  40.00 keV   3.735E-01  3.324E+00     168 A        77 A        56 A   
