 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/70Ge-Cu.dat

 Ion = Germanium    [32] , Mass = 70 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.179E-02  2.278E+00      45 A        27 A        19 A   
  11.00 keV   9.627E-02  2.337E+00      47 A        28 A        20 A   
  12.00 keV   1.006E-01  2.390E+00      50 A        29 A        21 A   
  13.00 keV   1.047E-01  2.438E+00      53 A        31 A        22 A   
  14.00 keV   1.086E-01  2.482E+00      56 A        32 A        23 A   
  15.00 keV   1.124E-01  2.523E+00      58 A        34 A        24 A   
  16.00 keV   1.161E-01  2.560E+00      61 A        35 A        25 A   
  17.00 keV   1.197E-01  2.595E+00      64 A        36 A        26 A   
  18.00 keV   1.232E-01  2.627E+00      66 A        37 A        27 A   
  20.00 keV   1.298E-01  2.684E+00      72 A        40 A        29 A   
  22.50 keV   1.377E-01  2.746E+00      78 A        43 A        31 A   
  25.00 keV   1.451E-01  2.798E+00      84 A        46 A        33 A   
  27.50 keV   1.522E-01  2.844E+00      90 A        49 A        35 A   
  30.00 keV   1.590E-01  2.883E+00      96 A        52 A        38 A   
  32.50 keV   1.655E-01  2.917E+00     102 A        55 A        40 A   
  35.00 keV   1.717E-01  2.946E+00     108 A        58 A        42 A   
  37.50 keV   1.778E-01  2.973E+00     114 A        60 A        44 A   
  40.00 keV   1.836E-01  2.995E+00     120 A        63 A        45 A   
