 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 19, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/70Se-V.dat

 Ion = Selenium     [34] , Mass = 70 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.814E-01  2.744E+00      59 A        31 A        23 A   
  11.00 keV   1.902E-01  2.813E+00      63 A        33 A        24 A   
  12.00 keV   1.987E-01  2.875E+00      67 A        35 A        25 A   
  13.00 keV   2.068E-01  2.931E+00      70 A        36 A        27 A   
  14.00 keV   2.146E-01  2.983E+00      74 A        38 A        28 A   
  15.00 keV   2.221E-01  3.030E+00      78 A        39 A        29 A   
  16.00 keV   2.294E-01  3.074E+00      81 A        41 A        30 A   
  17.00 keV   2.365E-01  3.114E+00      84 A        42 A        31 A   
  18.00 keV   2.433E-01  3.151E+00      88 A        44 A        32 A   
  20.00 keV   2.565E-01  3.217E+00      95 A        47 A        34 A   
  22.50 keV   2.720E-01  3.288E+00     103 A        50 A        37 A   
  25.00 keV   2.868E-01  3.348E+00     111 A        54 A        39 A   
  27.50 keV   3.008E-01  3.399E+00     119 A        57 A        42 A   
  30.00 keV   3.141E-01  3.444E+00     127 A        60 A        44 A   
  32.50 keV   3.270E-01  3.482E+00     135 A        64 A        47 A   
  35.00 keV   3.393E-01  3.515E+00     143 A        67 A        49 A   
  37.50 keV   3.512E-01  3.544E+00     151 A        70 A        51 A   
  40.00 keV   3.627E-01  3.569E+00     158 A        73 A        54 A   
