 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 08, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/71Ge-Cu.dat

 Ion = Germanium    [32] , Mass = 71 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.114E-02  2.288E+00      45 A        26 A        19 A   
  11.00 keV   9.559E-02  2.348E+00      47 A        28 A        20 A   
  12.00 keV   9.984E-02  2.401E+00      50 A        29 A        21 A   
  13.00 keV   1.039E-01  2.450E+00      53 A        31 A        22 A   
  14.00 keV   1.078E-01  2.495E+00      56 A        32 A        23 A   
  15.00 keV   1.116E-01  2.535E+00      59 A        33 A        24 A   
  16.00 keV   1.153E-01  2.573E+00      61 A        35 A        25 A   
  17.00 keV   1.188E-01  2.608E+00      64 A        36 A        26 A   
  18.00 keV   1.223E-01  2.640E+00      66 A        37 A        27 A   
  20.00 keV   1.289E-01  2.698E+00      72 A        40 A        29 A   
  22.50 keV   1.367E-01  2.760E+00      78 A        43 A        31 A   
  25.00 keV   1.441E-01  2.814E+00      84 A        46 A        33 A   
  27.50 keV   1.511E-01  2.859E+00      90 A        49 A        35 A   
  30.00 keV   1.579E-01  2.899E+00      96 A        52 A        37 A   
  32.50 keV   1.643E-01  2.933E+00     102 A        54 A        39 A   
  35.00 keV   1.705E-01  2.963E+00     108 A        57 A        41 A   
  37.50 keV   1.765E-01  2.990E+00     114 A        60 A        43 A   
  40.00 keV   1.823E-01  3.013E+00     120 A        63 A        45 A   
