 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 18, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/71Sr-V.dat

 Ion = Strontium    [38] , Mass = 71 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.899E-01  2.935E+00      56 A        30 A        22 A   
  11.00 keV   1.992E-01  3.013E+00      60 A        31 A        23 A   
  12.00 keV   2.080E-01  3.083E+00      63 A        33 A        24 A   
  13.00 keV   2.165E-01  3.147E+00      67 A        35 A        25 A   
  14.00 keV   2.247E-01  3.206E+00      70 A        36 A        26 A   
  15.00 keV   2.326E-01  3.260E+00      73 A        37 A        27 A   
  16.00 keV   2.402E-01  3.309E+00      77 A        39 A        28 A   
  17.00 keV   2.476E-01  3.356E+00      80 A        40 A        30 A   
  18.00 keV   2.548E-01  3.398E+00      83 A        42 A        31 A   
  20.00 keV   2.686E-01  3.475E+00      89 A        44 A        33 A   
  22.50 keV   2.849E-01  3.558E+00      97 A        48 A        35 A   
  25.00 keV   3.003E-01  3.629E+00     104 A        51 A        37 A   
  27.50 keV   3.149E-01  3.690E+00     112 A        54 A        40 A   
  30.00 keV   3.289E-01  3.744E+00     119 A        57 A        42 A   
  32.50 keV   3.424E-01  3.790E+00     126 A        60 A        44 A   
  35.00 keV   3.553E-01  3.831E+00     134 A        63 A        46 A   
  37.50 keV   3.678E-01  3.868E+00     141 A        66 A        48 A   
  40.00 keV   3.798E-01  3.900E+00     148 A        69 A        50 A   
