 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/72As-Cu.dat

 Ion = Arsenic      [33] , Mass = 72 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 72 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.063E-01  2.340E+00      44 A        26 A        19 A   
  11.00 keV   1.115E-01  2.402E+00      47 A        27 A        20 A   
  12.00 keV   1.165E-01  2.457E+00      49 A        29 A        21 A   
  13.00 keV   1.213E-01  2.508E+00      52 A        30 A        22 A   
  14.00 keV   1.258E-01  2.554E+00      55 A        31 A        23 A   
  15.00 keV   1.302E-01  2.597E+00      57 A        33 A        24 A   
  16.00 keV   1.345E-01  2.636E+00      60 A        34 A        25 A   
  17.00 keV   1.387E-01  2.673E+00      63 A        35 A        25 A   
  18.00 keV   1.427E-01  2.707E+00      65 A        36 A        26 A   
  20.00 keV   1.504E-01  2.767E+00      70 A        39 A        28 A   
  22.50 keV   1.595E-01  2.833E+00      76 A        42 A        30 A   
  25.00 keV   1.681E-01  2.889E+00      82 A        45 A        32 A   
  27.50 keV   1.764E-01  2.937E+00      88 A        47 A        34 A   
  30.00 keV   1.842E-01  2.979E+00      94 A        50 A        36 A   
  32.50 keV   1.917E-01  3.016E+00     100 A        53 A        38 A   
  35.00 keV   1.990E-01  3.048E+00     106 A        56 A        40 A   
  37.50 keV   2.059E-01  3.076E+00     112 A        58 A        42 A   
  40.00 keV   2.127E-01  3.101E+00     117 A        61 A        44 A   
