 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = srim_files/72Sr-V.dat

 Ion = Strontium    [38] , Mass = 72 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 72 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.886E-01  2.946E+00      56 A        30 A        22 A   
  11.00 keV   1.978E-01  3.024E+00      60 A        31 A        23 A   
  12.00 keV   2.066E-01  3.095E+00      63 A        33 A        24 A   
  13.00 keV   2.150E-01  3.159E+00      67 A        34 A        25 A   
  14.00 keV   2.231E-01  3.218E+00      70 A        36 A        26 A   
  15.00 keV   2.310E-01  3.272E+00      73 A        37 A        27 A   
  16.00 keV   2.385E-01  3.323E+00      77 A        39 A        28 A   
  17.00 keV   2.459E-01  3.369E+00      80 A        40 A        29 A   
  18.00 keV   2.530E-01  3.412E+00      83 A        41 A        30 A   
  20.00 keV   2.667E-01  3.490E+00      89 A        44 A        32 A   
  22.50 keV   2.829E-01  3.573E+00      97 A        47 A        35 A   
  25.00 keV   2.982E-01  3.645E+00     105 A        51 A        37 A   
  27.50 keV   3.127E-01  3.707E+00     112 A        54 A        39 A   
  30.00 keV   3.266E-01  3.761E+00     119 A        57 A        42 A   
  32.50 keV   3.400E-01  3.808E+00     127 A        60 A        44 A   
  35.00 keV   3.528E-01  3.849E+00     134 A        63 A        46 A   
  37.50 keV   3.652E-01  3.886E+00     141 A        66 A        48 A   
  40.00 keV   3.772E-01  3.918E+00     148 A        68 A        50 A   
  45.00 keV   4.001E-01  3.973E+00     162 A        74 A        54 A   
