 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = srim_files/73As-V.dat

 Ion = Arsenic      [33] , Mass = 73 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.800E-01  2.726E+00      60 A        31 A        23 A   
  11.00 keV   1.888E-01  2.794E+00      64 A        33 A        24 A   
  12.00 keV   1.972E-01  2.856E+00      68 A        35 A        25 A   
  13.00 keV   2.053E-01  2.912E+00      72 A        36 A        27 A   
  14.00 keV   2.130E-01  2.963E+00      76 A        38 A        28 A   
  15.00 keV   2.205E-01  3.010E+00      79 A        39 A        29 A   
  16.00 keV   2.277E-01  3.052E+00      83 A        41 A        30 A   
  17.00 keV   2.348E-01  3.092E+00      86 A        42 A        31 A   
  18.00 keV   2.416E-01  3.129E+00      90 A        44 A        32 A   
  20.00 keV   2.546E-01  3.194E+00      97 A        47 A        34 A   
  22.50 keV   2.701E-01  3.264E+00     105 A        50 A        37 A   
  25.00 keV   2.847E-01  3.323E+00     113 A        54 A        40 A   
  27.50 keV   2.986E-01  3.374E+00     122 A        57 A        42 A   
  30.00 keV   3.119E-01  3.418E+00     130 A        60 A        44 A   
  32.50 keV   3.246E-01  3.455E+00     138 A        64 A        47 A   
  35.00 keV   3.368E-01  3.488E+00     146 A        67 A        49 A   
  37.50 keV   3.487E-01  3.516E+00     154 A        70 A        51 A   
  40.00 keV   3.601E-01  3.541E+00     162 A        73 A        54 A   
  45.00 keV   3.819E-01  3.582E+00     177 A        79 A        58 A   
