 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 07, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/74As-Cu.dat

 Ion = Arsenic      [33] , Mass = 74 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.049E-01  2.360E+00      44 A        26 A        19 A   
  11.00 keV   1.100E-01  2.423E+00      47 A        27 A        20 A   
  12.00 keV   1.149E-01  2.479E+00      50 A        28 A        21 A   
  13.00 keV   1.196E-01  2.531E+00      52 A        30 A        22 A   
  14.00 keV   1.241E-01  2.578E+00      55 A        31 A        23 A   
  15.00 keV   1.285E-01  2.621E+00      58 A        32 A        23 A   
  16.00 keV   1.327E-01  2.661E+00      60 A        34 A        24 A   
  17.00 keV   1.368E-01  2.698E+00      63 A        35 A        25 A   
  18.00 keV   1.407E-01  2.733E+00      65 A        36 A        26 A   
  20.00 keV   1.483E-01  2.794E+00      70 A        38 A        28 A   
  22.50 keV   1.573E-01  2.861E+00      77 A        41 A        30 A   
  25.00 keV   1.659E-01  2.918E+00      83 A        44 A        32 A   
  27.50 keV   1.740E-01  2.967E+00      89 A        47 A        34 A   
  30.00 keV   1.817E-01  3.010E+00      94 A        50 A        36 A   
  32.50 keV   1.891E-01  3.048E+00     100 A        52 A        38 A   
  35.00 keV   1.962E-01  3.081E+00     106 A        55 A        40 A   
  37.50 keV   2.031E-01  3.110E+00     112 A        58 A        42 A   
  40.00 keV   2.098E-01  3.135E+00     118 A        60 A        44 A   
