 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 03, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/76Y-Cu.dat

 Ion = Yttrium      [39] , Mass = 76 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Yttrium      [39] , Mass = 76 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.145E-01  2.613E+00      41 A        24 A        17 A   
  11.00 keV   1.201E-01  2.687E+00      43 A        25 A        18 A   
  12.00 keV   1.254E-01  2.754E+00      46 A        26 A        19 A   
  13.00 keV   1.306E-01  2.816E+00      48 A        28 A        20 A   
  14.00 keV   1.355E-01  2.873E+00      51 A        29 A        21 A   
  15.00 keV   1.402E-01  2.925E+00      53 A        30 A        22 A   
  16.00 keV   1.448E-01  2.974E+00      55 A        31 A        23 A   
  17.00 keV   1.493E-01  3.019E+00      58 A        32 A        23 A   
  18.00 keV   1.536E-01  3.061E+00      60 A        33 A        24 A   
  20.00 keV   1.619E-01  3.138E+00      64 A        35 A        26 A   
  22.50 keV   1.718E-01  3.221E+00      70 A        38 A        28 A   
  25.00 keV   1.810E-01  3.293E+00      75 A        40 A        29 A   
  27.50 keV   1.899E-01  3.356E+00      80 A        43 A        31 A   
  30.00 keV   1.983E-01  3.411E+00      86 A        45 A        33 A   
  32.50 keV   2.064E-01  3.461E+00      91 A        48 A        35 A   
  35.00 keV   2.142E-01  3.504E+00      96 A        50 A        36 A   
  37.50 keV   2.217E-01  3.543E+00     101 A        52 A        38 A   
  40.00 keV   2.290E-01  3.579E+00     106 A        55 A        40 A   
