 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/78Rb-Cu.dat

 Ion = Rubidium     [37] , Mass = 78 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 78 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.028E-01  2.557E+00      42 A        24 A        18 A   
  11.00 keV   1.079E-01  2.629E+00      45 A        26 A        19 A   
  12.00 keV   1.126E-01  2.694E+00      47 A        27 A        19 A   
  13.00 keV   1.172E-01  2.753E+00      50 A        28 A        20 A   
  14.00 keV   1.217E-01  2.808E+00      52 A        29 A        21 A   
  15.00 keV   1.259E-01  2.858E+00      55 A        30 A        22 A   
  16.00 keV   1.301E-01  2.905E+00      57 A        32 A        23 A   
  17.00 keV   1.341E-01  2.948E+00      60 A        33 A        24 A   
  18.00 keV   1.380E-01  2.988E+00      62 A        34 A        25 A   
  20.00 keV   1.454E-01  3.061E+00      67 A        36 A        26 A   
  22.50 keV   1.543E-01  3.141E+00      72 A        39 A        28 A   
  25.00 keV   1.626E-01  3.209E+00      78 A        41 A        30 A   
  27.50 keV   1.705E-01  3.269E+00      83 A        44 A        32 A   
  30.00 keV   1.781E-01  3.322E+00      89 A        46 A        34 A   
  32.50 keV   1.854E-01  3.368E+00      94 A        49 A        35 A   
  35.00 keV   1.924E-01  3.410E+00      99 A        51 A        37 A   
  37.50 keV   1.991E-01  3.446E+00     105 A        53 A        39 A   
  40.00 keV   2.057E-01  3.479E+00     110 A        56 A        40 A   
