 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/78Se-Cu.dat

 Ion = Selenium     [34] , Mass = 78 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 78 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.008E-01  2.439E+00      44 A        25 A        18 A   
  11.00 keV   1.057E-01  2.505E+00      47 A        26 A        19 A   
  12.00 keV   1.104E-01  2.565E+00      49 A        28 A        20 A   
  13.00 keV   1.149E-01  2.620E+00      52 A        29 A        21 A   
  14.00 keV   1.193E-01  2.670E+00      55 A        30 A        22 A   
  15.00 keV   1.234E-01  2.716E+00      57 A        31 A        23 A   
  16.00 keV   1.275E-01  2.758E+00      60 A        33 A        24 A   
  17.00 keV   1.314E-01  2.798E+00      62 A        34 A        25 A   
  18.00 keV   1.352E-01  2.834E+00      65 A        35 A        25 A   
  20.00 keV   1.425E-01  2.901E+00      70 A        37 A        27 A   
  22.50 keV   1.512E-01  2.972E+00      76 A        40 A        29 A   
  25.00 keV   1.594E-01  3.034E+00      82 A        43 A        31 A   
  27.50 keV   1.671E-01  3.087E+00      87 A        46 A        33 A   
  30.00 keV   1.746E-01  3.134E+00      93 A        48 A        35 A   
  32.50 keV   1.817E-01  3.175E+00      99 A        51 A        37 A   
  35.00 keV   1.886E-01  3.211E+00     105 A        53 A        39 A   
  37.50 keV   1.952E-01  3.243E+00     110 A        56 A        40 A   
  40.00 keV   2.016E-01  3.271E+00     116 A        58 A        42 A   
