 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 11, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/80Kr-Cu.dat

 Ion = Krypton      [36] , Mass = 80 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 80 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.592E-01  2.537E+00      42 A        24 A        17 A   
  11.00 keV   1.670E-01  2.607E+00      45 A        25 A        18 A   
  12.00 keV   1.744E-01  2.672E+00      48 A        26 A        19 A   
  13.00 keV   1.815E-01  2.730E+00      50 A        28 A        20 A   
  14.00 keV   1.884E-01  2.784E+00      53 A        29 A        21 A   
  15.00 keV   1.950E-01  2.833E+00      55 A        30 A        22 A   
  16.00 keV   2.014E-01  2.879E+00      57 A        31 A        23 A   
  17.00 keV   2.076E-01  2.922E+00      60 A        32 A        23 A   
  18.00 keV   2.136E-01  2.962E+00      62 A        33 A        24 A   
  20.00 keV   2.252E-01  3.033E+00      67 A        35 A        26 A   
  22.50 keV   2.388E-01  3.111E+00      72 A        38 A        28 A   
  25.00 keV   2.518E-01  3.179E+00      78 A        40 A        30 A   
  27.50 keV   2.641E-01  3.238E+00      83 A        43 A        31 A   
  30.00 keV   2.758E-01  3.289E+00      89 A        45 A        33 A   
  32.50 keV   2.871E-01  3.335E+00      94 A        48 A        35 A   
  35.00 keV   2.979E-01  3.375E+00      99 A        50 A        36 A   
  37.50 keV   3.083E-01  3.411E+00     105 A        52 A        38 A   
  40.00 keV   3.185E-01  3.443E+00     110 A        54 A        40 A   
