 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/80Rb-isobutane_2.0torr.dat

 Ion = Rubidium     [37] , Mass = 80 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 80 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.234E-01  7.301E+00    2.96 mm   591.17 um   470.21 um  
  11.00 keV   7.587E-01  7.479E+00    3.14 mm   619.72 um   495.54 um  
  12.00 keV   7.925E-01  7.640E+00    3.31 mm   647.29 um   520.09 um  
  13.00 keV   8.248E-01  7.785E+00    3.48 mm   674.01 um   543.97 um  
  14.00 keV   8.559E-01  7.917E+00    3.64 mm   699.98 um   567.25 um  
  15.00 keV   8.860E-01  8.037E+00    3.81 mm   725.29 um   590.00 um  
  16.00 keV   9.150E-01  8.148E+00    3.97 mm   750.01 um   612.26 um  
  17.00 keV   9.432E-01  8.250E+00    4.13 mm   774.20 um   634.09 um  
  18.00 keV   9.705E-01  8.344E+00    4.28 mm   797.92 um   655.52 um  
  20.00 keV   1.023E+00  8.511E+00    4.59 mm   844.55 um   697.34 um  
  22.50 keV   1.085E+00  8.690E+00    4.96 mm   900.98 um   747.89 um  
  25.00 keV   1.144E+00  8.840E+00    5.33 mm   955.40 um   796.82 um  
  27.50 keV   1.200E+00  8.968E+00    5.69 mm     1.01 mm   844.37 um  
  30.00 keV   1.253E+00  9.077E+00    6.05 mm     1.06 mm   890.72 um  
