 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/80Rb-mylar.dat

 Ion = Rubidium     [37] , Mass = 80 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 80 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.592E-01  6.100E+00     159 A        38 A        30 A   
  11.00 keV   4.816E-01  6.244E+00     169 A        40 A        32 A   
  12.00 keV   5.030E-01  6.373E+00     179 A        42 A        33 A   
  13.00 keV   5.236E-01  6.490E+00     188 A        44 A        35 A   
  14.00 keV   5.433E-01  6.596E+00     197 A        46 A        37 A   
  15.00 keV   5.624E-01  6.693E+00     206 A        47 A        38 A   
  16.00 keV   5.808E-01  6.782E+00     215 A        49 A        40 A   
  17.00 keV   5.987E-01  6.863E+00     224 A        51 A        41 A   
  18.00 keV   6.161E-01  6.938E+00     232 A        52 A        42 A   
  20.00 keV   6.494E-01  7.071E+00     249 A        55 A        45 A   
  22.50 keV   6.888E-01  7.211E+00     270 A        59 A        49 A   
  25.00 keV   7.260E-01  7.329E+00     291 A        63 A        52 A   
  27.50 keV   7.615E-01  7.428E+00     311 A        67 A        55 A   
  30.00 keV   7.953E-01  7.512E+00     331 A        70 A        58 A   
  32.50 keV   8.278E-01  7.584E+00     350 A        74 A        61 A   
  35.00 keV   8.591E-01  7.645E+00     370 A        77 A        64 A   
  37.50 keV   8.892E-01  7.697E+00     389 A        80 A        67 A   
