 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/81Br-Cu.dat

 Ion = Bromine      [35] , Mass = 81 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 81 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.684E-02  2.506E+00      44 A        25 A        18 A   
  11.00 keV   1.016E-01  2.575E+00      46 A        26 A        19 A   
  12.00 keV   1.061E-01  2.638E+00      49 A        27 A        20 A   
  13.00 keV   1.104E-01  2.695E+00      52 A        28 A        21 A   
  14.00 keV   1.146E-01  2.748E+00      54 A        30 A        22 A   
  15.00 keV   1.186E-01  2.796E+00      57 A        31 A        22 A   
  16.00 keV   1.225E-01  2.841E+00      59 A        32 A        23 A   
  17.00 keV   1.263E-01  2.883E+00      62 A        33 A        24 A   
  18.00 keV   1.299E-01  2.921E+00      64 A        34 A        25 A   
  20.00 keV   1.370E-01  2.991E+00      69 A        36 A        27 A   
  22.50 keV   1.453E-01  3.067E+00      75 A        39 A        29 A   
  25.00 keV   1.531E-01  3.133E+00      81 A        42 A        30 A   
  27.50 keV   1.606E-01  3.190E+00      86 A        44 A        32 A   
  30.00 keV   1.677E-01  3.240E+00      92 A        47 A        34 A   
  32.50 keV   1.746E-01  3.284E+00      97 A        49 A        36 A   
  35.00 keV   1.812E-01  3.323E+00     103 A        52 A        38 A   
  37.50 keV   1.875E-01  3.357E+00     108 A        54 A        39 A   
  40.00 keV   1.937E-01  3.388E+00     114 A        57 A        41 A   
