 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 14, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/81Rb-isobutane_2.0torr.dat

 Ion = Rubidium     [37] , Mass = 81 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 81 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.189E-01  7.288E+00    2.98 mm   591.13 um   470.01 um  
  11.00 keV   7.540E-01  7.467E+00    3.15 mm   619.63 um   495.29 um  
  12.00 keV   7.875E-01  7.628E+00    3.32 mm   647.14 um   519.81 um  
  13.00 keV   8.197E-01  7.773E+00    3.49 mm   673.80 um   543.65 um  
  14.00 keV   8.506E-01  7.905E+00    3.66 mm   699.71 um   566.89 um  
  15.00 keV   8.805E-01  8.027E+00    3.82 mm   724.95 um   589.59 um  
  16.00 keV   9.094E-01  8.138E+00    3.98 mm   749.61 um   611.82 um  
  17.00 keV   9.374E-01  8.240E+00    4.14 mm   773.74 um   633.61 um  
  18.00 keV   9.645E-01  8.334E+00    4.30 mm   797.39 um   655.00 um  
  20.00 keV   1.017E+00  8.503E+00    4.61 mm   843.90 um   696.73 um  
  22.50 keV   1.078E+00  8.683E+00    4.98 mm   900.16 um   747.18 um  
  25.00 keV   1.137E+00  8.834E+00    5.35 mm   954.42 um   796.01 um  
  27.50 keV   1.192E+00  8.963E+00    5.71 mm     1.01 mm   843.45 um  
  30.00 keV   1.245E+00  9.073E+00    6.07 mm     1.06 mm   889.71 um  
