 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 14, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/81Rb-mylar.dat

 Ion = Rubidium     [37] , Mass = 81 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 81 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.564E-01  6.093E+00     160 A        38 A        30 A   
  11.00 keV   4.786E-01  6.238E+00     170 A        40 A        32 A   
  12.00 keV   4.999E-01  6.368E+00     179 A        42 A        33 A   
  13.00 keV   5.203E-01  6.485E+00     189 A        44 A        35 A   
  14.00 keV   5.400E-01  6.592E+00     198 A        46 A        37 A   
  15.00 keV   5.589E-01  6.689E+00     207 A        47 A        38 A   
  16.00 keV   5.772E-01  6.778E+00     216 A        49 A        39 A   
  17.00 keV   5.950E-01  6.859E+00     224 A        51 A        41 A   
  18.00 keV   6.123E-01  6.935E+00     233 A        52 A        42 A   
  20.00 keV   6.454E-01  7.069E+00     250 A        55 A        45 A   
  22.50 keV   6.845E-01  7.210E+00     271 A        59 A        48 A   
  25.00 keV   7.216E-01  7.329E+00     292 A        63 A        52 A   
  27.50 keV   7.568E-01  7.429E+00     312 A        66 A        55 A   
  30.00 keV   7.904E-01  7.514E+00     332 A        70 A        58 A   
  32.50 keV   8.227E-01  7.586E+00     351 A        73 A        61 A   
  35.00 keV   8.538E-01  7.648E+00     371 A        77 A        64 A   
  37.50 keV   8.837E-01  7.701E+00     390 A        80 A        67 A   
