 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 14, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/81Sr-Cu.dat

 Ion = Strontium    [38] , Mass = 81 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 81 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.043E-01  2.623E+00      42 A        24 A        17 A   
  11.00 keV   1.094E-01  2.697E+00      44 A        25 A        18 A   
  12.00 keV   1.143E-01  2.765E+00      47 A        26 A        19 A   
  13.00 keV   1.189E-01  2.827E+00      49 A        27 A        20 A   
  14.00 keV   1.234E-01  2.884E+00      52 A        29 A        21 A   
  15.00 keV   1.277E-01  2.937E+00      54 A        30 A        22 A   
  16.00 keV   1.319E-01  2.986E+00      57 A        31 A        22 A   
  17.00 keV   1.360E-01  3.031E+00      59 A        32 A        23 A   
  18.00 keV   1.399E-01  3.074E+00      61 A        33 A        24 A   
  20.00 keV   1.475E-01  3.151E+00      66 A        35 A        26 A   
  22.50 keV   1.564E-01  3.235E+00      71 A        38 A        27 A   
  25.00 keV   1.649E-01  3.307E+00      77 A        40 A        29 A   
  27.50 keV   1.730E-01  3.371E+00      82 A        43 A        31 A   
  30.00 keV   1.807E-01  3.427E+00      88 A        45 A        33 A   
  32.50 keV   1.880E-01  3.476E+00      93 A        47 A        35 A   
  35.00 keV   1.951E-01  3.520E+00      98 A        50 A        36 A   
  37.50 keV   2.020E-01  3.560E+00     103 A        52 A        38 A   
  40.00 keV   2.086E-01  3.595E+00     108 A        54 A        39 A   
