 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 14, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/81Sr-isobutane_5.0torr.dat

 Ion = Strontium    [38] , Mass = 81 amu

 Density =  1.6172E-05 g/cm3 = 2.3458E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 81 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.431E-01  7.397E+00    1.18 mm   234.15 um   185.87 um  
  11.00 keV   7.793E-01  7.580E+00    1.25 mm   245.39 um   195.83 um  
  12.00 keV   8.140E-01  7.746E+00    1.31 mm   256.23 um   205.49 um  
  13.00 keV   8.472E-01  7.896E+00    1.38 mm   266.74 um   214.87 um  
  14.00 keV   8.792E-01  8.032E+00    1.44 mm   276.94 um   224.02 um  
  15.00 keV   9.101E-01  8.157E+00    1.51 mm   286.88 um   232.96 um  
  16.00 keV   9.399E-01  8.271E+00    1.57 mm   296.59 um   241.70 um  
  17.00 keV   9.688E-01  8.377E+00    1.63 mm   306.09 um   250.28 um  
  18.00 keV   9.969E-01  8.475E+00    1.70 mm   315.40 um   258.69 um  
  20.00 keV   1.051E+00  8.650E+00    1.82 mm   333.69 um   275.10 um  
  22.50 keV   1.115E+00  8.836E+00    1.96 mm   355.81 um   294.94 um  
  25.00 keV   1.175E+00  8.994E+00    2.11 mm   377.13 um   314.13 um  
  27.50 keV   1.232E+00  9.128E+00    2.25 mm   397.78 um   332.77 um  
  30.00 keV   1.287E+00  9.243E+00    2.39 mm   417.86 um   350.93 um  
