 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 14, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/81Sr-mylar.dat

 Ion = Strontium    [38] , Mass = 81 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 81 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.717E-01  6.186E+00     158 A        38 A        30 A   
  11.00 keV   4.947E-01  6.335E+00     168 A        40 A        31 A   
  12.00 keV   5.167E-01  6.469E+00     177 A        42 A        33 A   
  13.00 keV   5.378E-01  6.590E+00     186 A        43 A        35 A   
  14.00 keV   5.581E-01  6.700E+00     195 A        45 A        36 A   
  15.00 keV   5.777E-01  6.800E+00     204 A        47 A        38 A   
  16.00 keV   5.966E-01  6.892E+00     213 A        48 A        39 A   
  17.00 keV   6.150E-01  6.977E+00     221 A        50 A        40 A   
  18.00 keV   6.328E-01  7.055E+00     230 A        52 A        42 A   
  20.00 keV   6.670E-01  7.194E+00     247 A        55 A        45 A   
  22.50 keV   7.075E-01  7.341E+00     267 A        58 A        48 A   
  25.00 keV   7.458E-01  7.465E+00     287 A        62 A        51 A   
  27.50 keV   7.822E-01  7.569E+00     307 A        66 A        54 A   
  30.00 keV   8.170E-01  7.659E+00     326 A        69 A        57 A   
  32.50 keV   8.503E-01  7.735E+00     346 A        72 A        60 A   
  35.00 keV   8.824E-01  7.800E+00     365 A        76 A        63 A   
  37.50 keV   9.134E-01  7.856E+00     383 A        79 A        66 A   
