 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/82Kr-Cu.dat

 Ion = Krypton      [36] , Mass = 82 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 82 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.573E-01  2.554E+00      43 A        24 A        17 A   
  11.00 keV   1.650E-01  2.626E+00      45 A        25 A        18 A   
  12.00 keV   1.723E-01  2.690E+00      48 A        26 A        19 A   
  13.00 keV   1.793E-01  2.750E+00      50 A        27 A        20 A   
  14.00 keV   1.861E-01  2.804E+00      53 A        29 A        21 A   
  15.00 keV   1.926E-01  2.854E+00      55 A        30 A        22 A   
  16.00 keV   1.989E-01  2.901E+00      58 A        31 A        22 A   
  17.00 keV   2.051E-01  2.944E+00      60 A        32 A        23 A   
  18.00 keV   2.110E-01  2.984E+00      62 A        33 A        24 A   
  20.00 keV   2.224E-01  3.057E+00      67 A        35 A        26 A   
  22.50 keV   2.359E-01  3.136E+00      73 A        38 A        27 A   
  25.00 keV   2.487E-01  3.205E+00      78 A        40 A        29 A   
  27.50 keV   2.608E-01  3.264E+00      84 A        43 A        31 A   
  30.00 keV   2.724E-01  3.317E+00      89 A        45 A        33 A   
  32.50 keV   2.835E-01  3.363E+00      94 A        47 A        35 A   
  35.00 keV   2.942E-01  3.404E+00     100 A        49 A        36 A   
  37.50 keV   3.046E-01  3.441E+00     105 A        52 A        38 A   
  40.00 keV   3.145E-01  3.474E+00     110 A        54 A        39 A   
