 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/82Sr-isobutane_10.0torr.dat

 Ion = Strontium    [38] , Mass = 82 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 82 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.385E-01  7.383E+00  590.37 um   117.08 um    92.90 um  
  11.00 keV   7.746E-01  7.567E+00  625.26 um   122.68 um    97.87 um  
  12.00 keV   8.090E-01  7.733E+00  659.33 um   128.09 um   102.69 um  
  13.00 keV   8.420E-01  7.883E+00  692.68 um   133.33 um   107.38 um  
  14.00 keV   8.738E-01  8.020E+00  725.39 um   138.43 um   111.94 um  
  15.00 keV   9.045E-01  8.146E+00  757.54 um   143.38 um   116.40 um  
  16.00 keV   9.342E-01  8.261E+00  789.18 um   148.23 um   120.77 um  
  17.00 keV   9.629E-01  8.367E+00  820.37 um   152.96 um   125.05 um  
  18.00 keV   9.908E-01  8.465E+00  851.15 um   157.60 um   129.25 um  
  20.00 keV   1.044E+00  8.641E+00  911.62 um   166.73 um   137.44 um  
  22.50 keV   1.108E+00  8.828E+00  985.45 um   177.76 um   147.34 um  
  25.00 keV   1.168E+00  8.987E+00    1.06 mm   188.38 um   156.91 um  
  27.50 keV   1.225E+00  9.122E+00    1.13 mm   198.68 um   166.21 um  
  30.00 keV   1.279E+00  9.239E+00    1.20 mm   208.69 um   175.27 um  
  32.50 keV   1.331E+00  9.339E+00    1.27 mm   218.45 um   184.13 um  
