 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/82Sr-mylar.dat

 Ion = Strontium    [38] , Mass = 82 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 82 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.688E-01  6.179E+00     159 A        38 A        30 A   
  11.00 keV   4.917E-01  6.329E+00     168 A        40 A        31 A   
  12.00 keV   5.135E-01  6.463E+00     178 A        42 A        33 A   
  13.00 keV   5.345E-01  6.584E+00     187 A        43 A        35 A   
  14.00 keV   5.547E-01  6.695E+00     196 A        45 A        36 A   
  15.00 keV   5.741E-01  6.796E+00     205 A        47 A        38 A   
  16.00 keV   5.930E-01  6.888E+00     213 A        48 A        39 A   
  17.00 keV   6.112E-01  6.973E+00     222 A        50 A        40 A   
  18.00 keV   6.289E-01  7.051E+00     231 A        51 A        42 A   
  20.00 keV   6.630E-01  7.191E+00     247 A        55 A        44 A   
  22.50 keV   7.032E-01  7.339E+00     268 A        58 A        48 A   
  25.00 keV   7.412E-01  7.464E+00     288 A        62 A        51 A   
  27.50 keV   7.774E-01  7.570E+00     308 A        66 A        54 A   
  30.00 keV   8.120E-01  7.660E+00     327 A        69 A        57 A   
  32.50 keV   8.451E-01  7.737E+00     347 A        72 A        60 A   
  35.00 keV   8.770E-01  7.803E+00     366 A        76 A        63 A   
  37.50 keV   9.078E-01  7.860E+00     384 A        79 A        66 A   
