 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 16, 2017 
 ==================================================================

 Disk File Name = srim_files/83Se-V.dat

 Ion = Selenium     [34] , Mass = 83 amu

 Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 83 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.666E-01  2.857E+00      61 A        30 A        22 A   
  11.00 keV   1.747E-01  2.932E+00      65 A        32 A        23 A   
  12.00 keV   1.825E-01  3.000E+00      69 A        33 A        24 A   
  13.00 keV   1.899E-01  3.061E+00      72 A        35 A        26 A   
  14.00 keV   1.971E-01  3.117E+00      76 A        36 A        27 A   
  15.00 keV   2.040E-01  3.169E+00      80 A        38 A        28 A   
  16.00 keV   2.107E-01  3.217E+00      83 A        39 A        29 A   
  17.00 keV   2.172E-01  3.261E+00      87 A        41 A        30 A   
  18.00 keV   2.235E-01  3.302E+00      90 A        42 A        31 A   
  20.00 keV   2.355E-01  3.375E+00      97 A        45 A        33 A   
  22.50 keV   2.498E-01  3.455E+00     105 A        48 A        35 A   
  25.00 keV   2.634E-01  3.522E+00     113 A        51 A        38 A   
  27.50 keV   2.762E-01  3.580E+00     121 A        54 A        40 A   
  30.00 keV   2.885E-01  3.631E+00     129 A        57 A        42 A   
  32.50 keV   3.003E-01  3.675E+00     137 A        60 A        45 A   
  35.00 keV   3.116E-01  3.714E+00     145 A        63 A        47 A   
  37.50 keV   3.225E-01  3.748E+00     152 A        66 A        49 A   
  40.00 keV   3.331E-01  3.778E+00     160 A        69 A        51 A   
  45.00 keV   3.533E-01  3.828E+00     175 A        75 A        55 A   
