 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 07, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/83Sr-Si.dat

 Ion = Strontium    [38] , Mass = 83 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 83 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.719E-01  4.438E+00     119 A        44 A        33 A   
  11.00 keV   2.852E-01  4.554E+00     126 A        46 A        35 A   
  12.00 keV   2.979E-01  4.658E+00     133 A        48 A        37 A   
  13.00 keV   3.100E-01  4.753E+00     140 A        50 A        38 A   
  14.00 keV   3.217E-01  4.840E+00     147 A        52 A        40 A   
  15.00 keV   3.330E-01  4.919E+00     154 A        54 A        42 A   
  16.00 keV   3.440E-01  4.993E+00     160 A        56 A        43 A   
  17.00 keV   3.545E-01  5.061E+00     167 A        58 A        45 A   
  18.00 keV   3.648E-01  5.124E+00     173 A        60 A        46 A   
  20.00 keV   3.846E-01  5.237E+00     186 A        64 A        49 A   
  22.50 keV   4.079E-01  5.358E+00     202 A        68 A        53 A   
  25.00 keV   4.299E-01  5.462E+00     217 A        73 A        56 A   
  27.50 keV   4.509E-01  5.552E+00     232 A        77 A        60 A   
  30.00 keV   4.710E-01  5.629E+00     246 A        81 A        63 A   
  32.50 keV   4.902E-01  5.697E+00     261 A        85 A        66 A   
  35.00 keV   5.087E-01  5.756E+00     275 A        89 A        69 A   
  37.50 keV   5.266E-01  5.808E+00     290 A        93 A        73 A   
  40.00 keV   5.438E-01  5.853E+00     304 A        97 A        76 A   
