 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 07, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/83Sr-mylar.dat

 Ion = Strontium    [38] , Mass = 83 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 83 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.660E-01  6.172E+00     159 A        38 A        30 A   
  11.00 keV   4.887E-01  6.322E+00     169 A        40 A        31 A   
  12.00 keV   5.104E-01  6.457E+00     178 A        41 A        33 A   
  13.00 keV   5.313E-01  6.579E+00     188 A        43 A        35 A   
  14.00 keV   5.513E-01  6.689E+00     197 A        45 A        36 A   
  15.00 keV   5.707E-01  6.791E+00     206 A        47 A        37 A   
  16.00 keV   5.894E-01  6.883E+00     214 A        48 A        39 A   
  17.00 keV   6.075E-01  6.969E+00     223 A        50 A        40 A   
  18.00 keV   6.251E-01  7.048E+00     231 A        51 A        42 A   
  20.00 keV   6.590E-01  7.188E+00     248 A        55 A        44 A   
  22.50 keV   6.989E-01  7.338E+00     269 A        58 A        48 A   
  25.00 keV   7.367E-01  7.463E+00     289 A        62 A        51 A   
  27.50 keV   7.727E-01  7.570E+00     309 A        65 A        54 A   
  30.00 keV   8.071E-01  7.661E+00     328 A        69 A        57 A   
  32.50 keV   8.400E-01  7.739E+00     348 A        72 A        60 A   
  35.00 keV   8.717E-01  7.806E+00     367 A        75 A        63 A   
  37.50 keV   9.023E-01  7.864E+00     385 A        79 A        66 A   
