 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 19, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/84Kr-CH2.dat

 Ion = Krypton      [36] , Mass = 84 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 84 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.337E-01  6.912E+00     212 A        42 A        33 A   
  11.00 keV   9.792E-01  7.080E+00     224 A        44 A        35 A   
  12.00 keV   1.023E+00  7.231E+00     237 A        46 A        37 A   
  13.00 keV   1.065E+00  7.368E+00     249 A        48 A        39 A   
  14.00 keV   1.105E+00  7.493E+00     260 A        50 A        40 A   
  15.00 keV   1.144E+00  7.606E+00     272 A        51 A        42 A   
  16.00 keV   1.181E+00  7.711E+00     283 A        53 A        43 A   
  17.00 keV   1.217E+00  7.806E+00     295 A        55 A        45 A   
  18.00 keV   1.253E+00  7.895E+00     306 A        57 A        46 A   
  20.00 keV   1.320E+00  8.053E+00     327 A        60 A        49 A   
  22.50 keV   1.401E+00  8.221E+00     354 A        64 A        53 A   
  25.00 keV   1.476E+00  8.362E+00     380 A        68 A        56 A   
  27.50 keV   1.548E+00  8.483E+00     405 A        71 A        60 A   
  30.00 keV   1.617E+00  8.585E+00     430 A        75 A        63 A   
  32.50 keV   1.683E+00  8.673E+00     455 A        78 A        66 A   
  35.00 keV   1.747E+00  8.749E+00     479 A        82 A        69 A   
  37.50 keV   1.808E+00  8.814E+00     503 A        85 A        72 A   
  40.00 keV   1.867E+00  8.870E+00     527 A        88 A        75 A   
