 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 17, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/84Kr-isobutane_2.0torr.dat

 Ion = Krypton      [36] , Mass = 84 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 84 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.107E+00  7.139E+00    2.93 mm   560.31 um   446.02 um  
  11.00 keV   1.161E+00  7.314E+00    3.10 mm   586.98 um   469.84 um  
  12.00 keV   1.213E+00  7.472E+00    3.27 mm   612.68 um   492.89 um  
  13.00 keV   1.262E+00  7.615E+00    3.43 mm   637.53 um   515.28 um  
  14.00 keV   1.310E+00  7.744E+00    3.60 mm   661.65 um   537.08 um  
  15.00 keV   1.356E+00  7.863E+00    3.75 mm   685.12 um   558.35 um  
  16.00 keV   1.400E+00  7.972E+00    3.91 mm   708.00 um   579.14 um  
  17.00 keV   1.443E+00  8.072E+00    4.06 mm   730.36 um   599.51 um  
  18.00 keV   1.485E+00  8.165E+00    4.22 mm   752.25 um   619.48 um  
  20.00 keV   1.566E+00  8.330E+00    4.51 mm   795.23 um   658.37 um  
  22.50 keV   1.661E+00  8.506E+00    4.88 mm   847.11 um   705.28 um  
  25.00 keV   1.750E+00  8.655E+00    5.23 mm   896.97 um   750.56 um  
  27.50 keV   1.836E+00  8.781E+00    5.58 mm   945.14 um   794.45 um  
  30.00 keV   1.917E+00  8.889E+00    5.92 mm   991.86 um   837.14 um  
