 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 17, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/84Kr-mylar.dat

 Ion = Krypton      [36] , Mass = 84 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 84 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.027E-01  5.977E+00     159 A        37 A        29 A   
  11.00 keV   7.370E-01  6.120E+00     169 A        39 A        31 A   
  12.00 keV   7.698E-01  6.247E+00     178 A        40 A        32 A   
  13.00 keV   8.012E-01  6.362E+00     187 A        42 A        34 A   
  14.00 keV   8.315E-01  6.467E+00     196 A        44 A        35 A   
  15.00 keV   8.607E-01  6.562E+00     205 A        45 A        37 A   
  16.00 keV   8.889E-01  6.649E+00     214 A        47 A        38 A   
  17.00 keV   9.162E-01  6.730E+00     222 A        48 A        39 A   
  18.00 keV   9.428E-01  6.804E+00     231 A        50 A        41 A   
  20.00 keV   9.938E-01  6.935E+00     248 A        53 A        43 A   
  22.50 keV   1.054E+00  7.074E+00     268 A        56 A        46 A   
  25.00 keV   1.111E+00  7.190E+00     288 A        60 A        50 A   
  27.50 keV   1.165E+00  7.289E+00     308 A        63 A        53 A   
  30.00 keV   1.217E+00  7.372E+00     327 A        67 A        55 A   
  32.50 keV   1.267E+00  7.443E+00     346 A        70 A        58 A   
  35.00 keV   1.315E+00  7.504E+00     365 A        73 A        61 A   
  37.50 keV   1.361E+00  7.556E+00     384 A        76 A        64 A   
