 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 16, 2017 
 ==================================================================

 Disk File Name = srim_files/84Ra-Cu.dat

 Ion = Radium       [88] , Mass = 84 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Radium       [88] , Mass = 84 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.179E-01  3.997E+00      29 A        17 A        12 A   
  11.00 keV   4.383E-01  4.144E+00      30 A        18 A        13 A   
  12.00 keV   4.578E-01  4.281E+00      32 A        18 A        13 A   
  13.00 keV   4.765E-01  4.408E+00      33 A        19 A        14 A   
  14.00 keV   4.945E-01  4.526E+00      35 A        20 A        14 A   
  15.00 keV   5.119E-01  4.638E+00      36 A        21 A        15 A   
  16.00 keV   5.287E-01  4.742E+00      37 A        21 A        15 A   
  17.00 keV   5.449E-01  4.842E+00      39 A        22 A        16 A   
  18.00 keV   5.607E-01  4.935E+00      40 A        23 A        16 A   
  20.00 keV   5.911E-01  5.109E+00      43 A        24 A        17 A   
  22.50 keV   6.269E-01  5.305E+00      46 A        25 A        18 A   
  25.00 keV   6.608E-01  5.480E+00      49 A        27 A        19 A   
  27.50 keV   6.931E-01  5.638E+00      52 A        28 A        20 A   
  30.00 keV   7.239E-01  5.782E+00      55 A        29 A        21 A   
  32.50 keV   7.535E-01  5.914E+00      58 A        31 A        22 A   
  35.00 keV   7.819E-01  6.036E+00      60 A        32 A        23 A   
  37.50 keV   8.093E-01  6.148E+00      63 A        33 A        24 A   
  40.00 keV   8.359E-01  6.252E+00      66 A        34 A        25 A   
  45.00 keV   8.866E-01  6.440E+00      71 A        37 A        27 A   
