 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/84Sr-Cu.dat

 Ion = Strontium    [38] , Mass = 84 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 84 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.024E-01  2.648E+00      42 A        24 A        17 A   
  11.00 keV   1.074E-01  2.724E+00      45 A        25 A        18 A   
  12.00 keV   1.122E-01  2.793E+00      47 A        26 A        19 A   
  13.00 keV   1.168E-01  2.856E+00      50 A        27 A        20 A   
  14.00 keV   1.212E-01  2.914E+00      52 A        28 A        21 A   
  15.00 keV   1.254E-01  2.968E+00      55 A        29 A        21 A   
  16.00 keV   1.296E-01  3.018E+00      57 A        31 A        22 A   
  17.00 keV   1.335E-01  3.064E+00      59 A        32 A        23 A   
  18.00 keV   1.374E-01  3.107E+00      62 A        33 A        24 A   
  20.00 keV   1.448E-01  3.186E+00      66 A        35 A        25 A   
  22.50 keV   1.536E-01  3.272E+00      72 A        37 A        27 A   
  25.00 keV   1.619E-01  3.346E+00      77 A        40 A        29 A   
  27.50 keV   1.698E-01  3.411E+00      83 A        42 A        31 A   
  30.00 keV   1.774E-01  3.468E+00      88 A        44 A        32 A   
  32.50 keV   1.846E-01  3.519E+00      93 A        47 A        34 A   
  35.00 keV   1.916E-01  3.564E+00      98 A        49 A        36 A   
  37.50 keV   1.983E-01  3.605E+00     103 A        51 A        37 A   
  40.00 keV   2.048E-01  3.642E+00     108 A        53 A        39 A   
