 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 07, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/85Kr-Cu.dat

 Ion = Krypton      [36] , Mass = 85 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 85 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.545E-01  2.579E+00      43 A        24 A        17 A   
  11.00 keV   1.620E-01  2.651E+00      45 A        25 A        18 A   
  12.00 keV   1.692E-01  2.717E+00      48 A        26 A        19 A   
  13.00 keV   1.761E-01  2.777E+00      51 A        27 A        20 A   
  14.00 keV   1.828E-01  2.833E+00      53 A        28 A        21 A   
  15.00 keV   1.892E-01  2.884E+00      55 A        29 A        21 A   
  16.00 keV   1.954E-01  2.931E+00      58 A        31 A        22 A   
  17.00 keV   2.014E-01  2.975E+00      60 A        32 A        23 A   
  18.00 keV   2.072E-01  3.016E+00      63 A        33 A        24 A   
  20.00 keV   2.185E-01  3.091E+00      67 A        35 A        25 A   
  22.50 keV   2.317E-01  3.172E+00      73 A        37 A        27 A   
  25.00 keV   2.442E-01  3.242E+00      78 A        40 A        29 A   
  27.50 keV   2.562E-01  3.303E+00      84 A        42 A        31 A   
  30.00 keV   2.676E-01  3.356E+00      89 A        44 A        33 A   
  32.50 keV   2.785E-01  3.404E+00      95 A        47 A        34 A   
  35.00 keV   2.890E-01  3.446E+00     100 A        49 A        36 A   
  37.50 keV   2.991E-01  3.484E+00     105 A        51 A        37 A   
  40.00 keV   3.089E-01  3.518E+00     110 A        53 A        39 A   
