 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/85Rb-CH2.dat

 Ion = Rubidium     [37] , Mass = 85 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 85 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.919E-01  7.007E+00     218 A        44 A        35 A   
  11.00 keV   6.208E-01  7.180E+00     231 A        46 A        37 A   
  12.00 keV   6.484E-01  7.336E+00     243 A        48 A        39 A   
  13.00 keV   6.749E-01  7.478E+00     256 A        50 A        40 A   
  14.00 keV   7.003E-01  7.606E+00     268 A        52 A        42 A   
  15.00 keV   7.249E-01  7.724E+00     280 A        54 A        44 A   
  16.00 keV   7.487E-01  7.832E+00     292 A        56 A        45 A   
  17.00 keV   7.717E-01  7.932E+00     303 A        58 A        47 A   
  18.00 keV   7.941E-01  8.024E+00     315 A        59 A        49 A   
  20.00 keV   8.371E-01  8.189E+00     337 A        63 A        52 A   
  22.50 keV   8.878E-01  8.365E+00     365 A        67 A        55 A   
  25.00 keV   9.359E-01  8.513E+00     392 A        71 A        59 A   
  27.50 keV   9.815E-01  8.640E+00     418 A        75 A        63 A   
  30.00 keV   1.025E+00  8.748E+00     444 A        79 A        66 A   
  32.50 keV   1.067E+00  8.842E+00     470 A        82 A        69 A   
  35.00 keV   1.107E+00  8.922E+00     495 A        86 A        73 A   
  37.50 keV   1.146E+00  8.992E+00     520 A        90 A        76 A   
  40.00 keV   1.184E+00  9.053E+00     545 A        93 A        79 A   
