 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 07, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/85Sr-isobutane_2.0torr.dat

 Ion = Strontium    [38] , Mass = 85 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 85 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.254E-01  7.343E+00    2.99 mm   585.42 um   463.95 um  
  11.00 keV   7.608E-01  7.528E+00    3.17 mm   613.31 um   488.71 um  
  12.00 keV   7.946E-01  7.695E+00    3.34 mm   640.21 um   512.70 um  
  13.00 keV   8.270E-01  7.847E+00    3.51 mm   666.25 um   536.02 um  
  14.00 keV   8.583E-01  7.985E+00    3.67 mm   691.54 um   558.74 um  
  15.00 keV   8.884E-01  8.112E+00    3.83 mm   716.16 um   580.93 um  
  16.00 keV   9.175E-01  8.228E+00    3.99 mm   740.20 um   602.65 um  
  17.00 keV   9.458E-01  8.336E+00    4.15 mm   763.71 um   623.93 um  
  18.00 keV   9.732E-01  8.435E+00    4.31 mm   786.74 um   644.82 um  
  20.00 keV   1.026E+00  8.614E+00    4.61 mm   832.00 um   685.55 um  
  22.50 keV   1.088E+00  8.805E+00    4.98 mm   886.71 um   734.76 um  
  25.00 keV   1.147E+00  8.966E+00    5.34 mm   939.41 um   782.35 um  
  27.50 keV   1.203E+00  9.105E+00    5.70 mm   990.43 um   828.57 um  
  30.00 keV   1.256E+00  9.224E+00    6.05 mm     1.04 mm   873.60 um  
