 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/85Zr-Cu.dat

 Ion = Zirconium    [40] , Mass = 85 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zirconium    [40] , Mass = 85 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.002E-01  2.731E+00      41 A        23 A        17 A   
  11.00 keV   1.051E-01  2.811E+00      44 A        24 A        18 A   
  12.00 keV   1.098E-01  2.883E+00      46 A        26 A        19 A   
  13.00 keV   1.143E-01  2.950E+00      49 A        27 A        19 A   
  14.00 keV   1.186E-01  3.012E+00      51 A        28 A        20 A   
  15.00 keV   1.228E-01  3.068E+00      53 A        29 A        21 A   
  16.00 keV   1.268E-01  3.121E+00      56 A        30 A        22 A   
  17.00 keV   1.307E-01  3.170E+00      58 A        31 A        23 A   
  18.00 keV   1.345E-01  3.216E+00      60 A        32 A        23 A   
  20.00 keV   1.418E-01  3.300E+00      65 A        34 A        25 A   
  22.50 keV   1.504E-01  3.392E+00      70 A        36 A        27 A   
  25.00 keV   1.585E-01  3.471E+00      75 A        39 A        28 A   
  27.50 keV   1.662E-01  3.541E+00      80 A        41 A        30 A   
  30.00 keV   1.736E-01  3.603E+00      85 A        43 A        32 A   
  32.50 keV   1.807E-01  3.658E+00      91 A        46 A        33 A   
  35.00 keV   1.875E-01  3.707E+00      96 A        48 A        35 A   
  37.50 keV   1.941E-01  3.751E+00     100 A        50 A        36 A   
  40.00 keV   2.005E-01  3.791E+00     105 A        52 A        38 A   
