 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 20, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/86Kr-Pb.dat

 Ion = Krypton      [36] , Mass = 86 amu

 Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 86 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.109E-02  8.166E-01      59 A        56 A        43 A   
  11.00 keV   8.504E-02  8.444E-01      63 A        59 A        46 A   
  12.00 keV   8.882E-02  8.700E-01      66 A        62 A        48 A   
  13.00 keV   9.245E-02  8.937E-01      70 A        65 A        50 A   
  14.00 keV   9.594E-02  9.157E-01      73 A        67 A        52 A   
  15.00 keV   9.931E-02  9.364E-01      76 A        70 A        54 A   
  16.00 keV   1.026E-01  9.557E-01      79 A        72 A        56 A   
  17.00 keV   1.057E-01  9.738E-01      83 A        75 A        58 A   
  18.00 keV   1.088E-01  9.910E-01      86 A        77 A        60 A   
  20.00 keV   1.147E-01  1.023E+00      92 A        82 A        64 A   
  22.50 keV   1.216E-01  1.058E+00      99 A        88 A        68 A   
  25.00 keV   1.282E-01  1.089E+00     107 A        94 A        73 A   
  27.50 keV   1.345E-01  1.117E+00     114 A        99 A        77 A   
  30.00 keV   1.404E-01  1.142E+00     121 A       105 A        81 A   
  32.50 keV   1.462E-01  1.165E+00     128 A       110 A        85 A   
  35.00 keV   1.517E-01  1.186E+00     135 A       115 A        89 A   
  37.50 keV   1.570E-01  1.205E+00     142 A       120 A        93 A   
  40.00 keV   1.622E-01  1.223E+00     149 A       125 A        97 A   
